,0
35,"yesterday, ,, kerala, ', s, health, minister, veena, george, claimed, press, meet, that, kerala, did, not, have, single, dose, covid, vaccine, ., today, ,, state, administered, over, 1, lakh, 23, thousand, doses, vaccine, across, 726, sites, ., where, did, additional, doses, spring, up"
36,"india, ', s, covid, vaccine, supply, :, why, modi, government, ', s, claims, are, dubious"
37,"what, happens, if, we, do, not, get, second, dose, covid, vaccine"
38,"wake, up, this, morning, keep, taking, care, of, yourself, #, Mourning, for, those, who, died, from, Covid, #, covid19, today, #, covidvaccines"
39,"today, receive, 1, news, of, neighbor, ', s, death, due, to, positive, coviddowncast_face_with_sweat, after, returning, 1st, dose, vaccinedowncast_face_with_sweatdowncast_face_with_sweat"
40,"yar, ., try, control, covid, kerala, ., today, there, 22000new, cases, ., it, is, 70, %, of, total, cases, india, ., non, availability, vaccine, is, not, only, reason, ., had, that, been, reason, ,, there, should, have, been, rise, covid, positive, cases, other, states, also, ., would, you, praise, modi, it"
41,"we, are, happy, that, we, do, not, have, any, other, problems, west, bengal, except, shortage, covid, vaccines, state, ', s, name, itself, ..."
42,"There, is, a, collective, demand, of, all, CSC, VLEs, that, in, Panchayat, Operator, Recruitment, ,, all, the, schemes, of, the, government, like, covid, vaccine, registration, ,, ayushman, card, ,, economic, census, ,, pmgdisha, ,, Kisan, Samman, Nidhi, ,, certificates, ,, banking, services, and, all, other, schemes, in, the, village, ., -, People, from, village, to, house, -"
43,"Complaining, that, you, have, covid, despite, being, vaccinated, is, like, complaining, that, your, ribs, hurt, after, being, shot, in, the, buffet, protected, by, a, bulletproof, vest, ., the, bulletproof, gillet, is, the, reason, you, can, complain"
44,"energize, protect, yourself, with, some, anti, covid, shot, ., smile, better, tomorrow, ., #, covidvaccine, #, shafiqghazie, #, retweet, #, share, #, repost, #, mysejahtera, #, lifestyle, #, fashion, #, fitness, #, malaysia, #, likeme, #, followme, #, vibes, #, love, #, mask"
45,"#, covid_19, #, covidindia, #, covidvaccine, #, botox"
46,"update, ., my, grievance, has, been, resolved, ., #, astrazeneca, #, cowin, #, serum, amazing, news, star, -, struckpartying_face, people, who, participated, covid, vaccine, trials, will, get, cowin, certificates, :, health, ministry"
47,"rising, trend, antibodies, mere, 2, -, 3, %, during, first, sero, -, survey, 7, -, 10, %, 2nd, ,, 20, -, 30, %, 3rd, 67, ., 6, %, 4th, sero, -, survey, ,, covering, all, parts, india, ,, rural, -, urban, ,, high, -, low, endemic, states, ,, it, is, reliable, ., a, finger, -, prick, #, covid_19, antibody, test, is, easily, doable, save, vaccines"
48,"whom, it, may, concern, :, grateful, don, family, ...., we, will, not, be, doing, any, tour, this, time, around, ,, these, covid, times, ., it, does, not, stand, test, reason, with, everybody, wearing, masks, flashing, vaccine, cards, ,, smile, ,, smile, ,, smile, part, tour, will, not, be, same, ."
49,"i, got, my, covid, -, 19, vaccine, protect, my, patients, ., do, your, part, protect, yourself, your, community, by, getting, covid, -, 19, vaccine, ., #, togetheragainstcovid19, #, vaccinesforpakistan"
50,"The, great, weapon, that, protects, us, from, the, #, Corona, epidemic, #, V, vaccine, #, I, am, also, proud, of, being, the, #, one, red_heart, ️, who, paid, the, first, installlment, of, the, vaccine, syringe, #, covishield, #, covishield, #, covidvaccine, #, Bharathidasan_University, #, trichy, #, trichy"
51,"my, mum, her, childhood, ,, witnessed, death, 2, her, cousins, due, smallpox, single, day, ., she, was, first, queue, covid, vaccine, ."
52,"just, got, notification, mysejahtera, app, my, surprise, appointment, dpt, kat, pasir, gudang, ., Anyway, ,, thank, God, ,, finally, the, name, went, up, to, be, vaccinated, ., #, covidvaccine"
53,"In, the, meeting, of, Mamata, Banerjee, with, PM, Modi, ,, which, lasted, for, about, 40, minutes, ,, the, situation, of, corona, to, vaccination, was, diskussed, #, indiafirstlivesale, #, pmmodi, #, westbengal, #, bengalcm, #, mamatabanerjee, #, covid19, #, covidvaccine"
54,"yesterday, ,, kerala, ', s, health, minister, #, veenageorge, claimed, press, meet, that, #, kerala, did, not, have, single, dose, #, covidvaccine, ., today, ,, state, administered, over, 1, lakh, 23, thousand, doses, vaccine, across, 726, sites, ., where, did, additional, doses, spring, up"
55,"just, declare, emergency, used, covid, vaccine, also, same, mana, ada, fda, /, who, give, approval, including, malaysia, government"
56,"just, like, covid, vaccine, some, recover, ,, some, side, effects, ,, some, recover, ,, some, die, just, declare, it, as, emergency, used, just, like, vaccine"
57,"ts, ,, notice, you, change, your, daily, highlights, emphasize, numbers, not, vaccinated, infected, by, covid, ,, question, where, is, vaccine, don, ’, t, blame, rakyat, ,, ask, your, ministers"
58,"if, patient, have, taken, one, dose, covid, vaccine, missed, 2nd, dose, 5, months, ., can, we, give, 2nd, dose, after, such, long, time, it, is, sinopharm"
59,"janssen, johnson, &, amp, ;, Johnson, ', s, Covid, -, 19, vaccine, use, and, operational, interim, guidance"
60,"1, /, 2, dun, kg, tunku, ,, under, selvax, program, ,, had, enabled, our, residents, ,, voters, &, amp, ;, workers, kg, tunku, get, their, 1st, shot, covid, -, 19, vaccine, ., with, yb, leading, strong, team, staff, &, amp, ;, volunteers, ,, we, managed, carry, out, program, smoothly, ."
61,"bihar, online, booking, covid, vaccine, is, not, available, ., malpractice, is, kindly, look, into, matter, ."
62,"assam, becomes, sixteenth, state, administer, 1, crore, covid, -, 19, vaccine, doses, ."
63,"covid, vaccine, is, not, available, at, solar, hospital, but, appointments, are, available, online, ., face_with_medical_maskface_with_medical_maskface_with_medical_mask"
64,"#, nagpuralert, :, 14, persons, tested, +, ve, 6, city, #, nagpur, today, 6, y, ’, day, ;, total, cases, 492836, ;, deaths, 1, 1, city, ;, total, deaths, 10116, ;, cured, today, 15, ;, total, cured, 482498, ;, active, 222, ;, tests, today, 5821, ;, total, tests, 3254583, ;, #, covid19, #, covidvaccine"
65,"vaccination, children, likely, next, month, ,, health, minister, says, #, vaccination, #, covid19, #, covidvaccine"
66,"do, not, get, so, confident, ., even, vaccines, cannot, make, you, superman, who, does, not, catch, virus, ., take, your, jabs, maintain, health, protocol, ., #, covid_19"
67,"triangular_flag, #, jaimaharashtra, #, jaihind, #, jaibharat, India, maharashtra, becomes, first, state, india, administer, both, doses, covid, -, 19, vaccine, over, one, crore, people, hoping, see, all, others, states, do, same, under, guidance, our, hon, ', pm, shri, ji"
68,"This, activity, will, also, be, started, at, the, stage, ., At, the, same, time, ,, the, Prime, Minister, asked, to, make, arrangements, for, vaccinating, the, elderly, ., Because, the, number, of, infected, and, death, is, higher, among, the, elderly, ., #, sheikhasina, #, bangladesh, #, covid19, #, covidvaccine"
69,"shortage, vaccine, lead, us, disaster, ,, pic, siwan, ,, bihar, #, covidvaccine, #, coronaviruspandemic, #, mismanagement, #, nomask, #, nosocialdistance"
