,feature_name,idf_weights
0,aadgaon,10.159099707782586
9700,missing,10.159099707782586
9678,miru,10.159099707782586
9679,mirzapur,10.159099707782586
9680,misadventure,10.159099707782586
9681,misbehave,10.159099707782586
9683,misconception,10.159099707782586
9684,misconduct,10.159099707782586
9685,misdeed,10.159099707782586
9689,misguide,10.159099707782586
9693,misinterpret,10.159099707782586
9702,missionary,10.159099707782586
9597,migrate,10.159099707782586
9703,missteps,10.159099707782586
9707,mistrust,10.159099707782586
9708,misunderstanding,10.159099707782586
9709,misunderstood,10.159099707782586
9711,mita,10.159099707782586
9712,mitani,10.159099707782586
9713,mite,10.159099707782586
9718,mitigate,10.159099707782586
9724,mixup,10.159099707782586
9676,mirpurkhas,10.159099707782586
9674,miriam,10.159099707782586
9673,miri,10.159099707782586
9672,mirai,10.159099707782586
9600,mihringte,10.159099707782586
9601,mikael,10.159099707782586
9602,mikayla,10.159099707782586
9604,mikhail,10.159099707782586
9605,miko,10.159099707782586
9611,mildest,10.159099707782586
9612,mildly,10.159099707782586
9614,mileage,10.159099707782586
9625,millitary,10.159099707782586
9626,miluchhi,10.159099707782586
9630,mina,10.159099707782586
9632,minbari,10.159099707782586
9638,mined,10.159099707782586
9640,mingle,10.159099707782586
9653,ministryofeducation,10.159099707782586
9654,ministryofhealthandfamilywelfare,10.159099707782586
9664,minutes,10.159099707782586
9669,miracleofscience,10.159099707782586
9671,mirage,10.159099707782586
9725,mizoram,10.159099707782586
9727,moan,10.159099707782586
9729,mobgolpuri,10.159099707782586
9778,modioxygendo,10.159099707782586
9780,modiresign,10.159099707782586
9781,modisarkar,10.159099707782586
9782,modisarkarhisystemhai,10.159099707782586
9783,modishahgayabhai,10.159099707782586
9784,modishield,10.159099707782586
9786,modivaxin,10.159099707782586
9787,modiwin,10.159099707782586
9788,modiwithfarmer,10.159099707782586
9789,modiwithfarmers,10.159099707782586
9793,mogwai,10.159099707782586
9795,mohamed,10.159099707782586
9799,mohdsahil,10.159099707782586
9800,mohdsharik,10.159099707782586
9801,moisture,10.159099707782586
9802,mole,10.159099707782586
9806,molinari,10.159099707782586
9812,mommy,10.159099707782586
9813,monarchy,10.159099707782586
9814,monastic,10.159099707782586
9779,modipohomemotivation,10.159099707782586
9776,modimedicine,10.159099707782586
9732,mobility,10.159099707782586
9774,modikavaccinejumla,10.159099707782586
9734,mobius,10.159099707782586
9735,mobs,10.159099707782586
9738,mockingly,10.159099707782586
9739,modality,10.159099707782586
9744,moderately,10.159099707782586
9745,moderation,10.159099707782586
9746,moderator,10.159099707782586
9749,modernami,10.159099707782586
9750,modernaorpfizer,10.159099707782586
9751,modernasyringesyringe,10.159099707782586
9756,modernism,10.159099707782586
9757,moderns,10.159099707782586
9760,modiatunga,10.159099707782586
9761,modicum,10.159099707782586
9764,modifie,10.159099707782586
9765,modified,10.159099707782586
9767,modigovernment,10.159099707782586
9772,modiinamerica,10.159099707782586
9773,modiinparliament,10.159099707782586
9599,miguel,10.159099707782586
9596,migrant,10.159099707782586
9819,mondaythoughts,10.159099707782586
9483,memorable,10.159099707782586
9466,mejor,10.159099707782586
9467,meju,10.159099707782586
9469,melampau,10.159099707782586
9471,melina,10.159099707782586
9472,melinda,10.159099707782586
9473,mellowvaccinate,10.159099707782586
9474,melnagarambedu,10.159099707782586
9478,membership,10.159099707782586
9481,memesindia,10.159099707782586
9487,memos,10.159099707782586
9594,mighty,10.159099707782586
9492,mendapat,10.159099707782586
9493,mene,10.159099707782586
9495,menjadi,10.159099707782586
9496,menstrual,10.159099707782586
9499,mentality,10.159099707782586
9503,mentions,10.159099707782586
9504,mentor,10.159099707782586
9506,menwillbemen,10.159099707782586
9507,mer,10.159099707782586
9464,mehrbani,10.159099707782586
9463,mehendi,10.159099707782586
9462,mehbooba,10.159099707782586
9459,megavaccinationcamp,10.159099707782586
9423,medicalstaff,10.159099707782586
9425,medicasuperspeciality,10.159099707782586
9428,medicineforall,10.159099707782586
9431,medicines_agency,10.159099707782586
9432,medicinespill,10.159099707782586
9433,medicos,10.159099707782586
9434,medinipur,10.159099707782586
9436,meditate,10.159099707782586
9437,meditation,10.159099707782586
9439,medley,10.159099707782586
9442,medulla,10.159099707782586
9443,meek,10.159099707782586
9444,meena,10.159099707782586
9446,meenketan,10.159099707782586
9447,meera,10.159099707782586
9448,meerkat,10.159099707782586
9455,megaphoneloudspeaker,10.159099707782586
9457,megaphonemegaphoneannouncement,10.159099707782586
9458,megaphoneopen,10.159099707782586
9509,merbahaya,10.159099707782586
9510,merchant,10.159099707782586
9511,merciful,10.159099707782586
9549,meticulously,10.159099707782586
9556,mgnregssputnikjab,10.159099707782586
9557,mhanalat,10.159099707782586
9559,mhpkapatilsin,10.159099707782586
9560,mica,10.159099707782586
9561,michael,10.159099707782586
9563,michi,10.159099707782586
9565,micro,10.159099707782586
9567,microbednasyringe,10.159099707782586
9571,microgram,10.159099707782586
9572,microkosmos,10.159099707782586
