,Text
48,Just got fired because an old Chinese man took a video of me helping two ladies figuring out where bus 99 is on my phone because he assumed I was playing games while working as a safe entry dude. Took me a long time to get this job and now I’ve been let go just like that
49,A bear bear will pop up and tell you if you're stupid enough to scan a non SafeEntry QR using TT https://t.co/0AZX4GkMZ8
50,I DUN UNDERSTAND WHY CUSTOMER CANNOT SCAN SAFE ENTRY VERY HARD MEH KNS
51,Is It Safe To Enter? #contacttracing #safeentry #creativeart #creativephotography #conceptualart #qrcode https://t.co/wOhPWHGXgN
52,"Commentary: TraceTogether and SafeEntry were never foolproof in averting recent fishery port and KTV clusters

https://t.co/bhrUctgYM3"
53,"Ang mo kio NTUC safe entry lady..

Very good service and polite.

🌟 🌟🌟 🌟 🌟"
54,"So when I reached home last night, I pulled out my phone &amp; launched the safe entry app, is this normal?"
55,"身近な人が又QO食らって隔離。これで3人目。
KTVでの濃厚接触による隔離は2000人とニュースで言ってたので当分外出控えるのが吉だな。
感染の確率よりもQOになる確率がかなり高そう。
自分もSafe entryで先週末GWCとOrchardのドンキでpossible exposure アラート来てるし怖い"
56,"All bochup safe entry login to KTV.

Once epideomeology tracing is out.. and interviewing show that they are the first cycle of infection from Vietnam hostess.

Please fine for those directly related to KTV first wave first cycle!!!! 

Law is law!!"
57,"Already done SafeEntry, and am in the queue now."
58,Cibai this Jurong point so many safe entry ah wtf . Just put at entrance la nnb
59,I dun get customers why cannot scan safe entry want
60,"SafeEntry Gateway check-out boxes to be rolled out at malls, other high footfall venues

https://t.co/4KiVuhqpYm"
61,"Update @my_sejahtera to enable public perform check-in/out at all venues.
@Khairykj
@DrAdhamBaba
@officialmosti
@Ghows

SafeEntry Gateway check-out boxes to be rolled out at malls, other high footfall venues

https://t.co/4KiVuhqpYm"
62,Consent is SafeEntry with less steps
63,Why can’t customer get it need scan safe entry ah now also cannot scan ic knn
64,Safe-Entry check-in system into mall via TraceTogether apps or same platform like @my_sejahtera in Jurong Point/Boon Lay MRT in Singapore. https://t.co/NYVFSmpNy3
65,New SafeEntry system lets you tap phone or TraceTogether token on gateway box to check in https://t.co/071aDK3z99
66,"📳Airlines, airports, and other ports of entry have been capitalizing on the travel freezes during COVID to make travelers' experiences more safe, seamless, frictionless, and digital (hey - that sounds familiar!) https://t.co/DaGavw78d2"
67,@nctjimin Some just walk in and I’m like pls scan safe entry that time got one lady say u guys should put a menu outside so we dun need go scan safe entry😑
68,@flyingriko はい、Safe entryです〜
69,"The pop up will run until August so I hope they will bring in more merch for fans to enjoy. Entry is via QR code but when I went there today, I just went in normally (safe entry scanning) since there was totally no crowd. Maybe the QR code will be activated on weekends/ph."
70,@Yuki97450195 Safe Entryがなくても、TraceTogetherのBluetoothで追跡可能だと思います。実際QO出た友達もTTで2mで隔離されました。
71,@AbrahamRoseNor @hrw @UNICEF @RinaMohdHarun @KPWKM @officialmosti Platform @my_sejahtera ni sama dgn platform #SafeEntry #Singapore but it's mandatory here. Every premises and work place kena ada. This contact-tracing apps keep the deaths rate low. Additional feature like you said is excellent idea and give the kids promising future. Bravo. https://t.co/8PoiN0mhxl
72,Trace Together 🇸🇬 #tracetogether #COVIDー19 #safeentry https://t.co/U02i0MfIBL
73,ホーム画面のウィジェットでTraceTogetherのSafe Entryセットするのしっくりきてる。 https://t.co/TcWfYHAW7Q
74,"Simula rin sa May 17, tatanggapin na lamang ang TraceTogether token o paggamit ng TraceTogether App ang papayagan sa lahat ng mag simbahan. Hindi na maaaring gamitin ang iba pang paraan ng Safe Entry."
75,"TraceTogether App or token na lamang ang maaaring gamitin bilang paraan ng safe entry. Kinakailangan na ring gamitin ang SafeEntry Gateway simula June 15, 2021 sa lahat ng mga hotel, dine-in F&amp;B, sports at fitness centers, at iba pang matataong lugar."
76,"Mas maaga ang implementasyon ng TraceTogether-only Safe Entry na magsisimula na sa May 17, 2021. Hindi na maaaring gamitin ang pag-scan ng Safe Entry QR code gamit ang telepono, at ang SingPass App, ngunit maaari pa ring gamitin ang ID sa pag-check-in hanggang May 31, 2021. https://t.co/GZUvGvZIzh"
77,"駅の改札みたいなSafeEntry〜
スマホにチェックイン画面出してそれをスキャンすると同時に体温チェックもするやつ🤓 https://t.co/JUGl2aXC5V"
78,Safe-Entry point becoming more sophisticated here. Must scan temperature before gate open. #Singapore https://t.co/N3qjQommKE
79,The lord said - please scan the QR code before SafeEntry to the heavens. Also please maintain 1m distance. https://t.co/s0wKseISlF
80,@septian Bener mas. But i like how they evolve quickly. Quite agile. Should be interesting when the vax passport part is later more important then the SafeEntry portion.
81,Contactless detection of TraceTogether app and token in select locations with new SafeEntry system https://t.co/xC6vMMw4HV via @connected2india #TraceTogether
82,"Yeah the safe entry  scanner is “lousy” because YOU can’t figure out how to use it. It works well for thousands of people, but when YOU can’t figure it out it’s “lousy”..... fucking moron."
83,@YSinSingapore ここも人数制限していたんですね👀私が行ったのは、土曜の夕方ですが、特に何も無く（safe entry のみ）入れましたよ。一応確認してみた方が良いかとは思います！
84,I win pls 10$ safe entry 10$ into my safe account
85,Yay easier safe entry https://t.co/STBKtmsMz8
86,@QweenSativaa Just remember to check in via safe- entry &amp; wear a mask before doing so ya ^^
87,Safe entry operator side got captcha. Please click on photos with bus to confirm you are not a robot.
88,if u put the safe entry confem coz covid dont have phone to scan https://t.co/bKtq6pFmKk
89,"Safe distancing officer
Safe entry officer"
90,"If Singapore opposition supporter storm the parliament house,

They will delete their tracetogether app first before bashing through the doors.

But the question is. 

Will they be civil enough to at least do a Safe Entry?"
91,TraceTogether’s SafeEntry reminds me of Foursquare. They should add mayorships and leaderboards to gamify it 😂
92,The guy at the counter is so nice 😬 he let me enter without checking my safe entry. Actually I check-in but then I had to go a big round and enter back plus my bag was too full and I couldn’t find my HP.
93,@deeperself checking in/out is safeentry not TT though... U really can't get much out of TT data assuming the device really deletes the data older than 21 days...
94,"Now go everywhere also feel like army camp

SIR STOP SIR HAVE YOU SCANNED YOUR SAFE ENTRY SIR"
95,"“Where you heading?” “Please take your temperature “ “please scan the safe entry” ehhh ni pukimak tk tahu sabar sial satu satu lah kimak, pikir aku nak mampos ke dtg CGH stakat nak amik order , macam aku nak nazak lagi 5 min puki"
96,Forced to download the TT app cos the restaurant where we're at requires it. Gahhh...safe entry not enough meh!
97,"With all the safe entry sessions in Singapore, how big is the data storage per day?"
98,"Scanned a TT only SafeEntry QR code. Told the staff I can't scan it, here's my token. Staff said oops. They can't scan too. Come on in.

Isit mandatory TT coming soon?"
99,"Food is in the pantry
Singapore is a safe country
In your heart, I want to do a SafeEntry 💘 @ MBS Skypark Observation Deck https://t.co/NFJJnZ6agu"
100,"Lol just saw a Chinese from China arrive and tried entering jewel only to get rejected entry by the safe entry guy. Feel bad tho, the girl was asking so nicely but the guy don’t understand Chinese so he just getting annoyed. Would’ve helped but I’m lazy.."
