feature_name,idf_weights
maheshbabu,8.313553665
mahe,8.313553665
maharastra,8.313553665
maharashtraunlock,8.313553665
maharashtragovernment,8.313553665
maharashtrafightscorona,8.313553665
maharaja,8.313553665
mahamega,8.313553665
maha,8.313553665
magnetchallenge,8.313553665
magnashield,8.313553665
magnanimity,8.313553665
magical,8.313553665
madras,8.313553665
madhwapur,8.313553665
madhubani,8.313553665
maine,8.313553665
maintaining,8.313553665
managing,8.313553665
maitre,8.313553665
mammy,8.313553665
mamatabanerjeeourpride,8.313553665
mamasan,8.313553665
malvika,8.313553665
malpractice,8.313553665
mall,8.313553665
malian,8.313553665
malek,8.313553665
maldives,8.313553665
malaysianbar,8.313553665
malayalam,8.313553665
malaya,8.313553665
malaria,8.313553665
malaga,8.313553665
makeup,8.313553665
makeit,8.313553665
majoring,8.313553665
mythbusters,8.313553665
nabadwip,8.313553665
nada,8.313553665
papa,8.313553665
parasitic,8.313553665
parapara,8.313553665
parampratandon,8.313553665
paramount,8.313553665
paradigm,8.313553665
paprika,8.313553665
pappu,8.313553665
papejalh,8.313553665
pant,8.313553665
pakistanarmy,8.313553665
panelist,8.313553665
pandian,8.313553665
pandhurna,8.313553665
pandemiclife,8.313553665
pali,8.313553665
palace,8.313553665
pala,8.313553665
pakpattan,8.313553665
pari,8.313553665
paris,8.313553665
parish,8.313553665
parked,8.313553665
paunch,8.313553665
patting,8.313553665
pattaya,8.313553665
patriotism,8.313553665
patiala,8.313553665
pastor,8.313553665
pasteur,8.313553665
pasted,8.313553665
passion,8.313553665
partner,8.313553665
participation,8.313553665
participated,8.313553665
participant,8.313553665
parrot,8.313553665
paro,8.313553665
parliamentary,8.313553665
parkinson,8.313553665
pakistanicelebrities,8.313553665
paisa,8.313553665
nagachaitanya,8.313553665
output,8.313553665
overpass,8.313553665
overly,8.313553665
overloaded,8.313553665
overlap,8.313553665
overcoming,8.313553665
outweigh,8.313553665
outta,8.313553665
outsmart,8.313553665
outline,8.313553665
pair,8.313553665
outdoor,8.313553665
outcome,8.313553665
ourway,8.313553665
ourpeoples,8.313553665
ouchyouchnanaman,8.313553665
ouch,8.313553665
otto,8.313553665
ostensibly,8.313553665
oversee,8.313553665
overstretched,8.313553665
overtaken,8.313553665
overtakes,8.313553665
painless,8.313553665
painkiller,8.313553665
paidvaccine,8.313553665
pai,8.313553665
page,8.313553665
pagan,8.313553665
pada,8.313553665
pact,8.313553665
packet,8.313553665
package,8.313553665
pack,8.313553665
pacific,8.313553665
oxymoron,8.313553665
oxylusnutraceuticals,8.313553665
owe,8.313553665
ow,8.313553665
overtaking,8.313553665
pavithramanikam,8.313553665
payback,8.313553665
