,0
43,"like, i, said, before, kan, ,, first, dose, getting, prettier, ,, second, dose, become, prettiest, ,, confidence, is, my, food, bebeyhh, rolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughingrolling_on_the_floor_laughing, second, dose, completed, ,, chipped, ,, vaccinated, ,, you, call, it, rolling_on_the_floor_laughing, #, teamnihaoma"
44,"vaccinated, praying, that, we, can, achieve, herd, immunity, soon, #, cucukmyaz"
45,"everyone, getting, vaccinated, what, ’, s, with, all, these, needles, ground"
46,"al, hamdulillah, vaccinated, pfizer, 2nd, dose, ...."
47,"this, is, how, public, is, getting, vaccinated, rishikul, ., more, people, coming, ., ., #, tuesdaymotivations, #, getvaccinated, #, getvaccinatednow"
48,"o, +, tapi, baru, vaccinated, yesterday, ., i, hope, he, ’, ll, get, better, soon, ,, my, prayers, go, your, adik, ."
49,"it, has, observed, that, maximum, vaccine, slots, 200, 300, available, mumbai, suburban, area, are, paid, services, private, hospitals, ;, whereas, free, vaccinations, center, has, slots, 20, 70, max, therefore, middle, class, people, are, unable, get, vaccinated"
50,"cdc, study, :-, fully, vaccinated, individuals, should, continue, taking, all, precautionary, measures, such, as, maintaining, social, distancing, wearing, masks, ., vaccinated, people, thinking, they, would, get, rid, restrictions, ., face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joy"
51,"vaccinated, baby, brown_heart, #, sinovac, #, vaccine, #, fightcovid19, #, vaccinationdonecheck_mark, ️, @, mines, international, exhibition, convention, center"
52,"my, dad, got, his, astra, zeneca, second, dose, ., parentalship, is, now, fully, vaccinated, ., so, is, my, sister, who, is, healthcare, worker, ., i, am, so, relieved, right, now, ."
53,"how, many, have, been, fully, #, vaccinated"
54,"with, close, 50, %, parents, across, #, india, not, willing, send, children, school, unless, #, vaccinated, as, per, recent, online, survey, ,, it, get, difficult, state, administrations, ask, kids, return, school, anytime, soon, ., looks, like, #, onlineclasses, continue, while"
