,Text
170,@JDavidRobison @DavidAFrench neo liberalisme...not....crony capitalism..but the guardian became a joke the last 15 years
171,Austria's upper house backs COVID-19 vaccine mandate https://t.co/YAbxw2Luzk https://t.co/TYtZkYoyag
172,"A recent study shows that vaccine hesitancy partly driven by people feeling disenfranchised by the state, write Kausik Chaudhuri and Anindita Chakrabarti of @LeedsUniBSchool, @JohtChandan and Siddhartha Bandyopadhyay of @unibirmingham.
Read here:https://t.co/mW0ofphhpA https://t.co/pDfIpUCvZ9"
173,@DominicCronin @sgdambrauskas Why do you think the FDA and Pfizer are asking for 55 Years to produce the Pfizer study data that resulted in the approval of the vaccine? Pfizer obviously had to present it all to the FDA so why the delay of over half a century?
174,South African biotech firm makes Africa's first mRNA Covid-19 vaccine using Moderna data https://t.co/5ZT3zIe8lH
175,@oneboneonchain @barriere_dr Vous êtes vacciné comme moi mais vous avez toujours peur de finir à l’hôpital/en réa ? Y’a pas un problème ? Il vient de vous ou du vaccin?
176,Britain gets fifth COVID-19 vaccine after Novavax approval https://t.co/bGKqXjvIvC https://t.co/DqNS1W28My
177,"Just wish to add to the data. I am unvaxxed. Got covid. Didn’t die. I know some who did, and also know people who died or got injured from vaccine. The point is, one virus won’t have e same effect on different people, and same goes for medical drugs or anything really. https://t.co/KpWyE0kVNX"
178,"Followers of the #newfederalstateofchina heard that anyone who took #Covid19 vaccines are going to be dead in 2-3 years' time.

What if we didnt die by then? 

Can you agree that the #antiCCP faction had lied and you are being manipulated like how you are by #CCP?

#NFSC #China"
179,Supply Chain Complications; Covid Vaccine Milestone; Hapag’s Strong Result - https://t.co/DL7WWftodB
180,"Nervous about taking my third booster vaccine on Feb 10, keep me in your prayers. I expect that my arms will be numb and I worry I might fall sick for a few days. Been coughing on and off too."
