,Text
36,@JustinOngTODAY @mrbrown Safe distancing ambassadors were already cut when we last went back to Phase 3. Nowhere to be seen. They had to put out an ad to rehire them.
37,"I see food court.

Boisterious..

I think a cluster will form from food court.. 

The safe distancing .. will help to some extent.. plus vaccinated population, which is increasing..

So transition period is interesting."
38,Lol I'm wondering whether any safe distancing officers eventually fall in love with each other.
39,If you want excitement in life you can don't wear mask and get into verbal fights with safe distancing officers https://t.co/luJMBUQmBT
40,"Should have known better!! 

Man who refused to wear mask on MRT arrested for allegedly flouting Covid-19 safe distancing measures https://t.co/9cmaJ1jpfh"
41,"Really honoured to have Speaker @chuanjin1 grace Toast to 30!

 https://t.co/KWDIhbdfNK

This is a different time, challenging as well, for those in need. Charities have had to adapt with their fundraising and volunteering drives (safe distancing included). https://t.co/Q7QEC6arWc"
42,"Completed second vaccine this morning.

Stay safe, wear mask, social distancing, wash hands well and get vaccinated early."
43,"Sometimes I think we need maciks to be the safe distancing ambassadors 

“Ah see lah see stand so close Later kenna infected then how? Don’t say macik never tell you to safe distance ah. Macik not like you all go nus but macik know we must safe distance”"
44,"Mga ka-Rated J. Siguraduhing sumunod sa safe distancing measures ng Singapore. 

Poster source: Enterprise Singapore.

#RatedJ https://t.co/18KU21kcqW"
45,"This type of gangsterism attitude must face a stronger force to wake him up. 
Police investigating abuse of Covid-19 safe-distancing officer at Lau Pa Sat https://t.co/QQmpeKWJ5w via @TODAYonline"
46,"Best summary of the new/latest
@gov.sg n @moh_singapore directives for #safedistancing measures in Singapore ! 
As seen on WhatsApp! 
#irenespired ! @ Singapore https://t.co/rV7JEHg6R7"
47,Beary naughty. Not observing current safe distancing guideline of only 5 to a table. 😄 🧸 @ PURA BRASA Singapore https://t.co/SB1W4uVTcu
48,"To come and think of Singapore’s fate in Covid. We are actually fucked. We can’t close the borders as our economy relies on it. We also can’t act like nothing happened because the virus spreads aggressively fast. 

Mask, safe distancing and vaccine is all we have to survive."
49,Patuloy pa rin ang mga outdoor organized exercise programs o classes ngunit hanggang 30 na katao na lamang ang maaaring dumalo na may karampatang safe distancing measures. Kailangang naka-grupo sila ng limahan na may 3-meters na distansiya bawat grupo.
50,Thank you @govsingapore @sporeMOH for keeping us residents safe during this pandemic. Happy to share that I finally got my 2nd shot of @moderna_tx Pls get yourself vaccinated when it’s your turn. Keep our community safe besides mask wearing/social distancing. #COVID19 https://t.co/QPxeI3M9n7
51,@AoffyCP ที่นี่ก็ปรับคนไม่ใส่แมสก์ครั้งแรก 300$ ครั้งที่สอง 1000$ พวกร้านอาหารที่ไม่ ควบคุม 1m safe distancing ก็โดน 1000-2000$ จำกัดการรวมกลุ่มไม่เกิน 8 คน รู้สึกเค้าเอาจริงมากๆ
52,"So fast CB nw alrdy 1 year...
May Covid vanish in thin air...🤲
No matter wat, take care &amp; stay safe alwz! Social distancing still follow ok! https://t.co/3wYluhGCnr"
53,"At 1043 on 26 Mar 2021

The art of social distancing

#socialdistancing #social #safedistancing @ Singapore https://t.co/pdJybzUSeL"
54,"With safe distancing in place and reduce number of seating capacity in polyclinics, many are looking forward to tele-consult online. Medicine can be delivered or collected at auto kiosk stations."
