,Text
0,"State = phase3
While covidCase &gt; 0:
    if covidCase &gt; 100:
        State = phase1
    elif covidCase &gt; 50:
        State = phase2

# so stay home

はい、この無限ループね。

https://t.co/FKtCBpkiwG"
1,@yasuisg タクシー代出してくれたりしませんかね？うちはありませんでしたが、欧米系事務所でPhase1とかにきてもらう人には出してるとか聞いたことあります。
2,"First looks, part one “a”

#phase1 #day5 #hygge @ IKEA Alexandra https://t.co/ErHwt2yR7j"
3,"First looks, part six

#phase1 #day2 #silkysundays @ Employees Only Singapore https://t.co/vwAATbCwwe"
4,"First looks, part five

#phase1 #day2 #blueskythinking @ Caffe Fernet https://t.co/Yw2X1zS8al"
5,"First looks, part four

#phase1 #day2 #washiyourhands @ Junior The Pocket Bar https://t.co/PfNbm0bVW5"
6,"First looks, part four

#phase1 #day2 #humblessed @ Junior The Pocket Bar https://t.co/MXAuimjKdE"
7,"First looks, part three

#phase1 #day2 #lordryanclift @ Tippling Club https://t.co/ZeAEtuNDRa"
8,"It turns out that I am out of spaghetti. So, tonight, Filipino Style Linguine for dinner. 🍝🇵🇭 #dinnertime #dinner #homecook #stayathome #foodporn #yum #pasta #linguine #filipinostyle #pinoy #covid_19 #phase1… https://t.co/TFRp1o3peo"
9,"Now that was an amazing sunset... Straight from the balcony - it has been a straight up magic show all week!
.
.
.
.
.
#djlife #pioneerdj #ravenisleven #singapore #coronavirus #circuitbreaker #phase1… https://t.co/stRCWcOe8M"
10,Happy #WorldOceansDay oceansday I just received my brand new #shark and #whale masks! The second pic is of me and my #mantaray friend in #komodo islands last year! Cant wait to dive again @ambert_ang @crabbybee #Wishiwasdiving #phase1 #stillwfh #komododiving https://t.co/rh1AbMycyl
11,"When the mask...becomes your daily oufit (nowadays).
.
.
.
#ootd #morningshift #postCB #phase1 #LifeAfterCB #AtLeastFourWeeks #essentials #staysafe @ Tampines https://t.co/LDFXmIYm16"
12,"#places that are #stillclosed in #phase1 of lifting up the #circuitbreaker measures.. ✌🏼☺️
.

#royaleclassbyrcs 
#singapore_insta 
#singapore 
#singaporelife 
#postcircuitbreaker 
#circuitbreakersg 
#staypositive… https://t.co/lPESoYqwLR"
13,Mrs Pho for lunch in the office today  #Phase1 https://t.co/GCdL8qdyNM
14,"vibrant colours .Pic taken n January 2020  while exiting the #littleindia #MRT #Singapore before the #pandemic circuit breaker  .. cultural event in the district , a couple dancing to a #Tamil song,June #phase1 #reopening #wearamask #staysafe #BackToWorkSafely #office #downtown https://t.co/UrBhZI9KLF"
15,"All in the name of custom straps.

How was day 1 of phase one??? We hope it was a good one 😉

#phase1 #singapore #customstraps #customwatchstrap #seiko #seikomod #seikostrap #skx007 #skx #watchlovers #watchfam… https://t.co/SergrbAcLt"
16,Di na ako pwede mag crocs sa office haaay #Phase1
17,End of circuit breaker! 🙌🏻 God bless Singapore and the entire 🌏 #phase1 @ Singapore https://t.co/h8N7SQLuFg
18,"As Circuit Breaker comes to an end, I hope that the incredible unity, support and collaboration amongst the creative and cultural industries in facing this pandemic together will continue as we prepare to gradually return to peacetime. #CB #MADEinSG #Phase1"
19,happy phase1..... Pali phase2 pls
20,"#phase1 #safeopening from #2ndjune2020 for #safeworkplaces #safehomes #safeschools #safecommuting #safecommunity #safechildren #safeseniors #safeworship 
#stayhome #staysafe #stayhomeforsg #safenation #sgunited… https://t.co/WbEhKypnkJ"
21,So the #phase1 post #circuitbreaker in #singapore is like an extension of the lockdown with a different name? Asking for a friend
22,"#circuitbreaker
#phase1
#2june2020 @ Fernvale https://t.co/HnnZy05hgD"
