,Text
35,The latest outbreak of Covid cases in Singapore involves a string of KTV bars and social hostesses. Contact tracing this will make for some interesting conversations.
36,"@franciscorpuz intense ang contact tracing dito. yung block nga namin mandatory testing last month dahil may virus fragments daw sa waster water 😱 o di ba, lahat na."
37,"History:

Me attending a zoom call where govt is asking for public and private organisation to present ideas for Bluetooth contact tracing and dimension, security and what not.

Balakrishnan is listening to proposals .

Then he comment, picked a few suitable to proceed! 2020!"
38,"Why contact-tracing is important at all venues &amp; work-places.
@my_sejahtera 
@Selangkah_my 
@KKMPutrajaya 
@officialmosti https://t.co/BS9XKSAXM0"
39,"Why contact-tracing is so important.
@DrAdhamBaba
@Khairykj
@officialmosti

SMS alerts, mandatory testing for people who visited COVID-19 hotspots on same days as confirmed cases

https://t.co/9VnqmE0sQC"
40,"Check out this job on Indeed:
Ministry of Health
Contact Tracing Executive Officers, Contact Tracing Centre (1-Year Contract)
Singapore
https://t.co/Qnd9B0iJ2Y"
41,"Why contact-tracing apps or CTA is important to prevent spread of the Covid-19. 

Covid-19 contact tracing apps: why they are so popular in China https://t.co/rk2kP57grv"
42,"4days of contact-tracing to establish link between unrelated cases in Singapore.

Malaysia? 1 Week, 1month, 1year or not found? @Khairykj @DGHisham
@KKMPutrajaya @DrAdhamBaba

https://t.co/Qm6CRnM7Ah"
43,"Why contact-tracing is the key factor in current campaign against Covid19.

5 new COVID-19 community infections in Singapore, all linked to previous cases

https://t.co/LlSipxJ9Bu"
44,"Why Contact Tracing Couldn't Keep Up With The U.S. COVID Outbreak

https://t.co/XVViZkujCy"
45,@AbrahamRoseNor @hrw @UNICEF @RinaMohdHarun @KPWKM @officialmosti Platform @my_sejahtera ni sama dgn platform #SafeEntry #Singapore but it's mandatory here. Every premises and work place kena ada. This contact-tracing apps keep the deaths rate low. Additional feature like you said is excellent idea and give the kids promising future. Bravo. https://t.co/8PoiN0mhxl
46,"@nizambakeri @DrDzul @DGHisham @AmirudinShari Without mandatory contact-tracing apps, you're fighting Covid-19  blindly and every premises implement the use of the apps. https://t.co/jKtR5vvD4x"
47,"@ArvindKejriwal Please go see youtube and see the situation in india how can you even compare it to singapore? No social distancing, during prayers no mask, no lockdown only as last resort, is there any contact tracing? When are yall going build new hospital ??"
48,Thank God for TraceTogether App and Token 😬 #ContactTracing the Singaporean Style https://t.co/g3djIz29Sd
49,"Contact-tracing apps help reduce COVID infections, data suggest https://t.co/nZRksgZ9pb"
50,What does contact tracing involve? | Video https://t.co/nTEIT6zpds
51,A guide to Singapore's Covid-19 contact-tracing system https://t.co/EHVxalMqta
52,Typical sight at our live concerts these days - QR code check-ins for contact tracing. https://t.co/nR2MfG2Ege
53,"@kasie What country will allow them in without quarantine, contact tracing etc. Don’t get this message. The US does not dictate how other nations receive US citizens."
54,"Is this possible here? @JKJAVMY @KKMPutrajaya @DGHisham @Khairykj.

We need mass testing because Malaysia don't have reliable contact-tracing instrument @ agency. https://t.co/IHudy03Ul6"
55,"The goal is not to go against those good contact tracing apps, but to complement. And If possible, replace the manual form fillings (i.e, google forms)"
56,Never advocated mass testing kasi ang kasunod nun ay contact tracing. Ano?! Kasi matrabaho? Nakakatamad gawin kaya ayaw nyo gawin #DutertePalpak #DOHPalpak https://t.co/QO4q5GYZ4p
57,"@drubeltran @gmanews Ang tawag dun UNLITESTING. Ayaw mag mass testing at contact tracing kasi matrabaho, gusto lang gawin yung petiks petiks lang at short cut 🤦🏻‍♀️"
58,"putting us under ecq then calling it a day doesnt work! its the lockdown IN CONJUNCTION WITH aggressive mass testing, contact tracing, proper distribution of vaccine, etc. one without the other does not work!"
59,"Itong si Duque/DOH/IATF paikot ikot at paulit ulit lang. Every Monday pareho lang ang report. Nasa handwash at face mask at face sheild pa rin. Nasan na ang matinding contact tracing para di kumalat. Yun kasi matrabaho e kaya ayaw gawin at ayaw mahirapan 

#DutertePalpak"
60,@thaqifyy Contact tracing? No? :)
61,"@fleirecastro Its still alive. Just that not much push from donors x demand from seekers. In short - no traction. I thought as well on a lil switch of the service like contact-tracing, but tens of those already in Phils (a problem too, no single app strictly mandated from govt for tracing 🤦‍♂️)"
62,"Singapore's #TraceTogether Contact Tracing technology sparks Privacy Concerns

https://t.co/2nCa1O1tFg"
63,Want an effective contact tracing? How about a national ID and a dedicated database. #Philippines #COVID19
64,"@dotrmrt3 when the contact tracing app didn’t work, MRT3 passengers filled up the contract tracing sheet... using a single pen tied to the table 🙄🙄🙄 No wonder cases just keep on going up. Hello contact precaution! #onlyinthephilippines #COVID19"
