,Text
35,Bolehland just got new #MCO / #PKP orders.. Lalaland will be getting the #Phase2 orders soon
36,"Our heroes keeping office buildings exterior clean and nice at Fusionopolis, Singapore 

Day 187 into Singapore Phase 2 Safe Transition
#covid19 #phase2 
#singapore #sgunited
#limjunlong https://t.co/qqLDIWOtUy"
37,phase2 alr like phase3
38,"How Jewish are pickles?

#covid19 #phase2 #day113 @ Ann Siang Hill https://t.co/Ck4poDDCcK"
39,Am invited to @CNA938 @ 5𝐩𝐦 𝐓𝐨𝐝𝐚𝐲 to share via a 𝑳𝒊𝒗𝒆 𝑰𝒏𝒕𝒆𝒓𝒗𝒊𝒆𝒘 on how real estate agents have adapted to the new norm during CircuitBreaker &amp; in Phase2.Look fwd to share my experience &amp; also how it has evolved into new modes of omni-channel selling #SPS2020 https://t.co/5NV28E1C71
40,"Same

#phase2 #day109 #consumas @ IKEA Alexandra https://t.co/23TQONpD29"
41,"What's the point of even sleeping?
If I can't show it, if you can't see me
What's the point of doing anything?

#phase2 #day107 #digitalwitnesses @ Chinatown https://t.co/MQOXrNyEYf"
42,"Is there life on Mars?

#covid19 #phase2 #day106 @ JTC Launchpad at One North https://t.co/m7ym7qdEhC"
43,"Good morning
My thoughts on leaving
Are back on the table
I thought you should know

#covid19 #phase2 #day106 @ Chinatown https://t.co/sV8bDw2tNQ"
44,"Uh-oh

#covid19 #phase2 #day105 @ Singapore https://t.co/lQahB7bfXx"
45,"80’s Rewind

#phase2 #day103 #singaporediscover @ Fook hai Building https://t.co/rPm9OOddy8"
46,"Tonight I’m getting something brand new

#phase2 #day102 #shamelesssummer @ IKEA Alexandra https://t.co/ctPVN0HDXp"
47,"What happened to the weekend?

#nofilter #phase2 #day102 @ Chinatown https://t.co/tfI1BIpVNG"
48,"You steal my lines and you strike me down
Come raise your flag upon me

And if you want me—I'm your country
If you win me—I'm forever

#covid19 #phase2 #day92 @ IKEA Alexandra https://t.co/MqiWzu9Pdp"
49,"Pourin' it, pourin' it, pourin' it non-stop
Drinkin' it, drinkin' it, drinkin' it all up
Body to body, I almost forgot
You're not him

#smile #phase2 #day87 @ Sri Mariamman Temple, Singapore https://t.co/2hYdg4dX2n"
50,"I’ll cry about it later, I’ll cry about it later, tonight I’m having fun, tonight I’m having fun!

#smile #day166 #day1 #phase2 #day83 #shamelessummer @ Jigger and Pony https://t.co/z6ucj7BybZ"
51,"Reason will not lead to solution, I will end up lost in confusion 

#covid19 #phase2 #day76 @ Millenia Walk https://t.co/NV2GLziGni"
52,"What is love? 
Baby don’t hurt me
Don’t hurt me
No more

#phase2 #day75 #wakemeupwhenseptemberends @ IKEA Alexandra https://t.co/57tCUpQdPE"
53,"When there’s nothing left to burn, you have to set yourself on fire

#covid19 #phase2 #day75 @ Chinatown https://t.co/200DfnwCEa"
54,@akmrsg もうphase2.8だから気分は（笑）
55,"Oculus.
Inside looking up at the artsciencemuseumsg 

#TheRealLV in #Singapore #Phase2 @ ArtScience Museum https://t.co/18UomaCByF"
56,The lockdown Singapore Flyers Covid-19 Phase2 August  2020. @ Singapore Flyer https://t.co/HMOElth6fB
57,"Lilies at the EU. 

Visiting the artsciencemuseumsg on another rainy day.

#FunTimes in #Singapore #Phase2 with #TheRealLV @ ArtScience Museum https://t.co/HT2ZvYwB7M"
58,#superhot #weather old pals #fairway #birdies #pars #resisttheordinary #cobraf9 #pumacobragolf #drivers #pitching #f8irons #green #putter #happydays #phase2 #covid19 #coronavirus @ Marina Bay Golf Course https://t.co/RuYxEDl2XC
59,commonmanstan is my natural habitat. #workvibes #phase2 #grind #dowork #horangi #teamhorangi #tigers #commonmanstan #workfromcoffeehouse #singaporelife @ Common Man Stan https://t.co/aoZvzZS8m4
60,"Hidden in plain sight. 

#TheRealLV in #Singapore #Phase2 @ Ophir Road https://t.co/9YGSEsF8sF"
61,"I saw everyone’s diving posts, so I decided to make a “diving” video of my own...

#TheRealLV in #Singapore #Phase2 @ The Sail @ Marina Bay https://t.co/R4aQf9YvwR"
62,"Hello, City. 

#TheRealLV in #Singapore #Phase2 @ Marina Barrage https://t.co/K86iWhAvx8"
63,A chill drink #zouk #zoukcocktail #milogao #chocolaty #alchohol #limchiu #vibes #covid19 #phase2 @ Singapore https://t.co/EPtIT6pB3G
64,"Masked up using #earadaptor given out by #theneighbourhoodspideys when you are queueing for #prata 💕
.
.
#maskextenders #earadaptors #Phase2 #TheNewNormal #SGUnited #SingaporeTogether #Covid19  
#urbanliving #SGlife #exploresg #myownbackyard #oppophotography https://t.co/AoE9gSw5A0"
65,"Old and New, Graffiti on Tradition

#TheRealLV in #Singapore #Phase2 @ Tanjong Pagar https://t.co/QJq8B67Kto"
66,"6 months since I saw this and it’s still quite therapeutic.
#postCB #phase2 #jewel #cag #changi @ Jewel Changi Airport https://t.co/BytE6kn9uf"
67,Our first movie in months #traintobusan2 #traintobusanmovie #movieouting #socialdistancing #mask #covid19 #phase2 #penisula #goldenvillage #husbandandwife #saturdaydate @ Golden Village at Tiong Bahru Plaza https://t.co/qH1APy54Ui
68,#Desserts after #Dinner 🍦 #TGIF #Phase2 #CatchUp #Hangout https://t.co/olS9gf6qjF
69,Eating Out 😋 #Dinner #Desserts #Food #Foodie #JapaneseFood #Sweets #Sundae #Icecream #Donburi #Phase2 #PublicHoliday #Friday #TGIF #Singapore https://t.co/yqTbScdGim
70,"Ending the moth well with a surprisingly easy-to-make steak lunch.

#NoFilter #TheRealLV in #Singapore #Phase2 @ The Sail @ Marina Bay https://t.co/S5igzVBn0f"
71,Many of us miss traveling and exploring little known places @pimster024 #holidayweekend #resorts #precovid19 #maskless #covid19 #phase2 #cabinfever #missingminnie #travel #whencanweflytogether #love #family @ Singapore https://t.co/OqGnrZaFWb
72,"And still I find it so hard
To say what I need to say
But I'm quite sure that you'll tell me
Just how I should feel today

#covid19 #phase2 #day41 @ IKEA Alexandra https://t.co/mlssL79qmF"
73,"Monday #Pink 
Hope that you are in your #pinkofhealth during this #phase2 &amp; #dengue period.

Trying on a new #lipcolour 
#rougehermes #hermeslipstick #rosemexique #brightcolors #intensepink @ Singapore https://t.co/IlZ2Dm8TtD"
74,"When you've got worries all the noise and the hurry
Seems to help I know … at ikeasingapore 

#covid19 #phase2 #day36 
#ikea #lifeimprovement #church @ IKEA Alexandra https://t.co/macO7g0uwK"
75,Mask off for quick selfie. It went right back on. #selfie #covid_19 #maskoff #maskon #circuitbreaker #phase2 #singaporelife #coronalife @ East Village Mall at Simpang Bedok https://t.co/4XWf57MQiA
76,"The lights are much brighter there 
You can forget all your troubles, forget all your cares
So go to mcdsg 

#covid19 #phase2 #day35
#mcdonalds #safedistancing #isabelmarant @ McDonald's https://t.co/6PIABU80bG"
77,"When you're alone and life is making you lonely, you can always go … to ikeasingapore 

#covid19 #phase2 #day33 @ IKEA Alexandra https://t.co/O0m70LO56p"
78,Life during #circuitbreaker #phase2 #Lifestyle #MacRitchie #Reservoir #nikonsg #nikonasia #d810 #NikonPF300F4 @ Singapore https://t.co/jRrRO384be
79,"I don’t understand why some folks are meeting in groups larger than 5, thinking that sitting at adjacent tables makes it ok. But would you post it on social media? No? Because you don’t want to get caught? Then why do it in the first place? #phase2"
80,"Just another picture of the #jjajangmyeon we had about 2 weeks ago, when I first started going out to eat again in #Phase2. ❤️ A bit random but it's been a somewhat challenging day, so let's look at some #noodleporn… https://t.co/gHQHpxGoDn"
81,Jamie Yeo checks in with me at noon to talk about collaborating with brands #collaboration #brands #socialmedia #sphradio #socialinfluencer #socialmarketing #socialdistancing #covid19 #phase2 #staysafe @ Singapore… https://t.co/GDrdsE8jBL
82,"What I’ve been yearning for the past 3 months of closure. 

A beautiful sunset to end the amazing week. 

#slowlybutsurely
#phase2
#goawaycovid19 
#sunset
#shotoniphone 
#forestadventuresg @ Forest Adventure https://t.co/tN0oW26hXh"
83,Resumption of masses #resumptionofmasses #catholic #catholicchurch #mass #holyeucharist #holycommunion #blessings #prayer #givethanks #holyspirit #covid19 #coronavirus #phase2 #socialdistancing #safeentry… https://t.co/4HNWQebMcQ
84,"Resumption of masses #massresumption #catholicchurch #catholic #covid19 #coronavirus #phase2 #socialdistancing #safeentry #holyeucharist #holycommunion #amen #prayer #blessings @ Church of St Bernadette, Singapore https://t.co/bpX49gltx2"
85,Another home cooked during Phase2 of #circuitbreakersg #indianfood #dahl #chickenbriyani #thaifood #padthai #westernfood #creamymushroompasta #foodporn #edzcooking #edzkitchen #homecooking #passion #kitchenskills https://t.co/yiMdNMZxOp
86,"Thanks for the assurance, thecoffeeacademicssg #coffee #java #coffeebreak #thecoffeeacademics #whereyouneedtobe #covid_19 #circuitbreaker #phase2 #coronalife @ The Coffee Academics Singapore https://t.co/io9LiQKOdZ"
87,"来週で3ヶ月が経とうとしているダイエット&amp;エクササイズ

今朝ヨガ後の計量にて最軽量を記録

Phase2にて暴飲暴食の日もあるものの、継続は力なり

コロ助なり"
88,"You know, some people say you eat with your eyes …

#phase2 #day19 #influenza @ The White Rabbit https://t.co/Pfp8R5aT9D"
89,美味しい 🍣 with @wenDdd 💕 #Phase2 #Sushi #JapaneseFood #Foodie #LiveToEat #Singapore https://t.co/uv7xhQQ4t9
90,Tigers in the wild. Masks off for a moment to take a pic. #nightout #circuitbreaker #phase2 #teamhorangi #tigers #coronalife @ Chinatown Food Street https://t.co/8UqxqYRtGv
91,"Happy half-birthday crazycocktailcat 

#phase2 #day12 #deadlyvalentine @ ATLAS Singapore https://t.co/9SET4MdW29"
92,"First looks, part one “b”

#phase2 #day11 #nofilter @ IKEA Alexandra https://t.co/lu6WkGOaGs"
93,Selfie before looking for some dinner. Mask on later. #selfie #iputpantsontoday #phase2 #circuitbreaker #nike #airjordan #aj12 #sneakerhead #maskoff #coronalife @ East Village Mall at Simpang Bedok https://t.co/woOUmUbQdu
94,"🇸🇬phase2になってお初の焼肉。
ソーシャルディスタンスの都合でカップルシートになっており、夫婦して妙に照れる(〃ω〃)
ユッケのある幸せ🍀 https://t.co/8guHlWSIHy"
95,Took off my mask to take a quick selfie before having my meal! Have a good week ahead people 😊😷 stay safe! #mondaymotivation #mondaymood #sotd #selfie #phase2 #dinein #singapore #throwback @ Singapore https://t.co/l4peZ48FBQ
96,We couldn’t be more pleased with #graduations back in full swing this weekend! #Congratulations to all our graduates since #Phase2 #reopening! We’re so #proud of you! #milestone #coding #learntocode #certificate #computerscience #empirecode https://t.co/jwvuh4W7wg
97,My cartoon look #cartoon #cartoonart #comics #sundayfunday #chillday #staysafe #mask #covid19 #coronavirus #phase2 #familytime #weekendvibes #cobrapuma @ Kim Tian Rd https://t.co/Om1qC8vrFc
98,"Hop into phase2 with these impossible foods back by popular demand at MOS Burgers! This includes the all-new Pumpkin Mushroom Impossible Burger and last year’s favourite, the Classic Impossible Burger. My favourite… https://t.co/EdZX5EmV9f"
99,First meal back at a restaurant since before circuit breaker and there was only one thing on my mind! Oh Sushi how I’ve missed you! #timoheats #sushi #phase2 @ Tomi Sushi @ Novena Square https://t.co/lQy1gOJdgV
100,This is what we are expecting an ordinary weekend. Finally it has come. #Bedok #BedokReservoir #Singapore #Phase2 #싱가포르 #배독 #シンガポール @ Bedok Reservoir Garden https://t.co/l5NEMZyqjL
101,"All the best. Here, always ❤️🙏 #husbandandwife #family #covid19 #coronavirus #phase2 #mask #hug #love #staysafe #handsanitizer #blessed @ Singapore https://t.co/mzLdOkU7tU"
102,いただきます 🙏  #ChirashiDon #Oishii #ChilliCrabs #Cockles #Omelette #Japanese #Fusion #Food #Foodie #LiveToEat #Phase2 #Singapore #Dinner https://t.co/sWP62X4HEl
103,the days where masks are compulsory #phase2 #mookata #dietstartstomorrow @ Kin Tub Thai Steamboat https://t.co/nYPSJD5Kxo
104,"It's good to finally be able to dine out on a Friday night.

#singapore #postcircuitbreaker #phase2 #fridaynight https://t.co/QQ5G1kciqU"
105,Time to chill for the weekend #weekend #teatime #phase2 #covid19 #election2020 #takethingsonedayatatime #staysafe #socialdistancing #mask @ Singapore https://t.co/Nc4ksHsvQC
106,"My order arrived too quickly. Whether it’s 5 mins or 50 mins, being able to do these live sketches makes me feel alive... ah, the simple joys! 
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#dailysketch #sketch #phase2 #sketchbook… https://t.co/1Jtpvz275j"
107,"シンガポール🇸🇬phase2に移行してからの連日の土砂降りに、マリーナのあちこちが田んぼにwww

今日は薄雲りのスタート。
政府がわざとお家にいるように雨を降らしているという都市伝説あり😱 https://t.co/8NHi614tEy"
108,"#COVID__19 
#Phase2 
#18620 https://t.co/rvQ0gc4CZX"
109,"It’s a simple thing - to be able to dine out. But it still feels like a privilege to do so. Barely 1 week ago, this was unheard of. 
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#dailysketch #sketch #phase2 #sketchbook… https://t.co/rAs8IjLNMe"
110,Somerset in Phase2 @ Orchard Road https://t.co/CHRyDWiHcV
111,"I’ve been waiting for it to open. 🍵Trying out this Tiramisu Matcha at Maccha House... it’s so good! ♥️😋
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
#dailysketch #sketch #phase2 #sketchbook #sketchbookskool #watercolourart… https://t.co/qzf67WVs11"
112,#singapore #heavyrain #heavyrain #roadblocked #flood #lockdown #phase2 of lockdown time https://t.co/vAAFYbmPFI
113,#heavyrain #floods #singapore #covid19 #phase2 https://t.co/QPPf5Zgoo1
114,"I remember my grandmother telling me green is a very soothing colour, as a child I never understood that. Now, I do. #singapore #gardencity #green #phase2 #parks #forest #samsunggalaxys7 @ Singapore https://t.co/Jom1I5pgJn"
115,"The perfect way to welcome #Phase2. #Dinner at my favourite restaurant with 2 of my favourite people/worst pains in the ass. 🥩 🥗 🍴 🍷❤️

#DGenz #Bistecca #FridayNightDinner @ Bistecca Tuscan Steakhouse https://t.co/UWJ0VpA3K4"
116,Tuesday Rainy Phase2 Covid-19 morning...with macro wildflowers and droplets. @ Nanyang Lake https://t.co/86Ervy7b76
117,"Changi Airport Terminal 1 *current state*. 😷
#Phase2 #dinner #andes #Singapore https://t.co/AxAfOAqlDx"
118,"#postlockdown 🥳☺️😈🤸🏻‍♀️🙌🏼😊
.
#mynewnormal #phase2 #sunset #marinabaysands #largerthanlife #chairposechallenge 🤣🤭😛 @ Singapore https://t.co/hnUZ3k0GL1"
119,"Picked #Monday afternoon to dine out for the first time in #Phase2 and enjoyed a super lovely catch up with one of my favourite humans today, without the crowds. ❤️❤️ And lol realised that this was the first and… https://t.co/TI2sgp9EnZ"
120,"Choose your designs  for the table sticker for phase 2
#signaramacbdsingapore #signaramacbd #askthesignlady #signarama #teamsignarama #phase2 #phase2reopening #reopningsingapore @ Signarama CBD Singapore https://t.co/tygn8wHsJH"
121,Nothing brings people together like good food. #aperolspritz #sipsy #roastedporkbelly #phase2 @ Singapore https://t.co/w440ipX44R
122,Have a blast training in #Phase2 https://t.co/fWS5wEO1kq
123,After a beautiful front 9 we got hit with the sirens #Singapore #Golf #Phase2 https://t.co/00th9wXjaK
124,Cozy scents.. been using it for many times.. #candle #relaxation  #Phase2 #nightlife #selfcare https://t.co/qwbrH5Ckz6
125,phase2 priorities: pizza https://t.co/Zsnuc6whrg
126,Hello old friend! #Phase2 #circuitbreakersg https://t.co/XG9oDuppzr
127,Oh how I have missed you so! #Phase2 #Phase2Reopening🇸🇬 https://t.co/fCPTNX2hq9
128,"待ちに待った焼肉
今日はこれからカロリー気にせず食うぞ！
#Phase2
#焼肉食べ放題
#焼肉じゃんじゃん https://t.co/ZKTwF3Ru7a"
129,"Museums to reopen on June 26, followed by heritage centres on July 3 🇸🇬 #Phase2 https://t.co/ojaN0s4ZmG"
130,What day is today? It’s Jun 20 Day 2 under Phase II and almost shops are finally opened!!! Never been stuck at home more than 3 mths + and feeling just DAMN awesome 👏🏻 #phase2 #singapore #igers #iger #igsg #igdaily… https://t.co/6ZbV9Q7Pa0
131,"First looks, part two

#phase2 #day1 #buenasnoches @ ATLAS Singapore https://t.co/zcNuiur1MV"
132,"Universal Studios!!!
Na-solo din kita #solo #universalstudios #singapore #phase2 #exercise #goodmorning #morningwalk @ Universal Studios Singapore https://t.co/Xbwat40r8q"
133,Regular pleasures are back #regular #pleasures #epl #tottenhamhotspur #manchesterunited #josemourinho #olegunnarsolskjaer #simplepleasures #covid19 #coronavirus #phase2 @ Singapore https://t.co/3K9bnLJLgm
134,Singapore. Beautiful. Always. #Phase2 #GODBlessSG🇸🇬 @ Singapore https://t.co/UTJRUMBrED
135,"Singapore. Beautiful. Always. #Phase2 #GODBlessSG🇸🇬 

📸: CTTO @ Singapore https://t.co/SUoRmxhuWz"
136,What a day! Today’s work is really “work”! 😃 🙏🏻 #Phase2 #reopening #singapore https://t.co/EC64Hd7u4U
137,#Phase2 https://t.co/lwBbtXy7cQ
138,"Survived the 1st day of work for Phase 2.
Thank you Lord.
#circuitbreakersg #Phase2 #COVID19 #SocialDistancing #singapore https://t.co/TexWfGDzYT"
139,"Adjusting to #phase2 #newnormal, kids were happy and finished the day with #maoshangwang @ East Coast Park https://t.co/daomNl5jFQ"
140,"“That Patron tequila, me and my mamacita” - Paradisco Girls #phase2 @ Café Iguana https://t.co/qNL2C1ev4p"
