,Text
45,@nikhiltri One year anniversary since lockdown started in my state. The day after the random Thursday I left my office.
46,"@asjadnazir Lockdown 
Freedom 
Inspiration"
47,"I might be closer to buying a mistake if he came back as soon as  province wide lockdown was decided....not almost 2 weeks later after been told to and shamed.  

Side note, he came home early and it was still a 2.5+ week vacation during a provincial crisis. https://t.co/DEvguPeuOM"
48,"It’s time... for the annual book review!!! Here’s all the books I read this year. When lockdown started in March, I lost 4 good hours of reading time that I used to spend on the train every day... a blessing and a curse. Still proud of what I managed to read despite that! https://t.co/2dUfOGhnnJ"
49,Agree. The federal Liberals have been very reluctant to do the simple clear things to protect Canadians. This whole draconian lockdown may have been unnecessary if we had controlled access in and out of our country back in Feb. https://t.co/FfULdmjt2g
50,"@AsaHutchinson
How the fuq can you claim to be keeping Arkansans safe, when your incompetence can't keep prisoners safe. Hello Dummy, outsiders bring it in 2 prisons
North Little Rock | Arkansas Department of Corrections on “lockdown” due to COVID-19 cases https://t.co/MEeRq7TZPY"
51,@SharesTruth Lockdown avi...
52,@CGGunner09 @kylenabecker @NC_Governor @ncdhhs Don't hold your breath waiting for #SupremeChancellor @RoyCooperNC to do the eight thing. He's got A LOT riding on continuing his lockdown of nonsense. https://t.co/4NJCHJnAup
53,"#arrivecan I've been in strict lockdown and doing my reports on the app but nobody has called me yet, I thought they called you very day."
54,@GolfDigest Return to Golf ⛳️🇵🇷 72 days #lockdown https://t.co/6F1hUxhKKo
55,"Before the 2nd #Toronto lockdown, we set out on an epic 420km, sun up to sun down Capital2Capital ride in support of @CureSPG50, a rare neurodegenerative disease. 
It was a day that tested limits &amp; served as a reminder of why we ride. Check IG/FB for full episode! https://t.co/1EFUokpEk1"
56,"Ontario is still in #lockdown. It may be tempting to gather with friends &amp; family tonight, but please respect lockdown orders. Celebrate #NYE with members of your own household or connect virtually with others via FaceTime, Zoom, texts or phone calls. #NYE2020 #BeResponsible https://t.co/Si6TQ1nQI9"
57,the travel was restricted and we entered into lockdown. What I did then was to start to work on my @NSERC_CRSNG Discovery Grant proposal and trying to make sense to some revisions and rejections I also got back right when everything was closing.
58,"Lockdown part 2, day 6 of 14: I figured out what year it was. Still 2020, but not for long. Tonight seems like a good night to eat pizza."
59,"@kaktusflower @OntLiberal Agreed but Ford is the one giving the same message everyday, even before the 2nd lockdown ... STAY HOME.  So yes, they are held to a higher standard / accountability.  I certainly don’t want to and believe everything they tell us ... Let’s end this charade and get back to life."
60,"@Manda251 @taff_tro69 @PandaScottish @JamesMelville Not advocating for that at all. Lockdown means to leave for only essentials. Like food, medicine etc. Will protect the workers too. Doesn't fit your narrative though. I notice you don't really answer my point either."
61,"2020, your Momma so fat, she couldn't leave the house even if we weren't on lockdown all year."
62,"#RodPhillips returns from #StBarts amid lockdown https://t.co/rxsSPrS09O when he packed shirt/sweater next 2 🩳/🧴, when he didn’t record his holiday msg fr #stbarts 🏖 he knew xactly what he was doing. he tried 2 hide non-essential travel 100% @RodPhillips01 @fordnation #onpoli"
63,lol no but we went into the first lockdown the week right before my birthday 💀
64,"How many bands are talented enough to release one of the best albums of 2020, #TheJoyOfTheReturn, in January, then record another during lockdown and release that in the same year?! Yep, that's exactly what the @slowreadersclub did with #91DaysInIsolation!
https://t.co/YumHQh1fSZ"
65,"@saltysixties For a lockdown it will be a hum dinger , sure to stay safe , Absolutely.🤔🤗✌👍"
66,@AnthonySabatini That’s right! The best part is people are calling lockdown orders law. WRONG!! As a free American I’ll make my own choices. Fortunately my governor is intelligent enough to not try that bullshit here. They make suggestions based on facts. 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸
67,@zamngorgeous0_o Y’all on lockdown?
68,"@samyanez94 @Casey You do realize the reason you left San Francisco was selfish right🤦🏽‍♂️? Also, different state with different regulations and Florida’s infection rate is way lower than Cali without all the lockdown BS killing the economy. Respect the difference or move back to Cali🤷🏽‍♂️ #noclue"
69,"#nomorelockdowns #lockdown #pandemic #smallbusiness #liberalismisamentaldisorder #smallbusiness #stimuluscheck #cerb #unemploymentbenefits #socialismisamentaldisorder @ Toronto, Ontario https://t.co/BfxiLDMjkp"
70,"#illuminati #newworldorder #lockdown #tyranny #restrictions #liberalismisamentaldisorder #socialismisamentaldisorder @ Toronto, Ontario https://t.co/4MC1KuxA1B"
71,"#maskofthebeast #mask #vaccine #restrictions #lockdown #pandemic #billgates #liberalismisamentaldisorder #socialismisamentaldisorder @ Toronto, Ontario https://t.co/j3Yiq90UKF"
72,@RodPhillips01 The lockdown had not been announced and we live in a free country. I don’t agree with  all the huffing and puffing from the court of public opinion. It seems we are now entering a time when we start turning against each other.
73,"If @fordnation doesn’t fire @RodPhillips01 today, he needs to forgive every fine levied against small business for breaking lockdown rules."
74,"Lockdown is ironically why we don’t see or feel half a million deaths, btw"
75,After. Lockdown baby https://t.co/ZreENOhBKa
76,and were going back in lockdown again bc all of the dumbasses who travelled/partied during the break😩 https://t.co/1m2xaks4QO
77,@SarahSyd8 His excuse of “i didnt know we were going into lockdown” was great... because Trudeau saying “the border is closed. Please don’t travel” just wasnt enough
78,@piersmorgan Somewhat misleading...Sydney is still in a significant lockdown Piers
79,"@StephenPunwasi We’ve been behind the 8 ball at EVERY step. 

Masks/PPE - late
Tests - slow to scale and not approving at home tests 
Testing at airports - it’s coming?
Lockdown - kind of but not really
Contact tracing - “we have resourcing issues” 
Vaccinations - Trump +
Boris are 3-6x faster"
80,@ScotiaBuck @sunlorrie You have always two coins in hypotheses. Not enough! #lockdown #onpoli
81,@DeanBaker13 @tokenwhitedude So the actual costs of lockdown or however you want to put it are still coming in.
82,"@sunlorrie You are getting brainwashed! There is plenty medical advise from real experts, even @WHO saying that lockdowns don’t work. We have plenty of evidence from #Florida and #Texas to prove otherwise.  The operative world is reasonable. Time for the courts to determine! #lockdown"
83,"We are so grateful for:
1. Our dedicated volunteers  
2. @dailybreadto 
3. Lucky Ball fundraiser 
4. Open through lockdown 
5. Distributing 18,431 food hampers!
6. @secondharvestca
7. Urban Garden &amp; infrastructure upgrades
8. Our amazing clients
9. Our many sponsors 
Thank you! https://t.co/0it9G6OJdl"
84,They back again. I got they asses on lockdown cus they was outta control last time. Set them ground rules as soon as they stepped foot in my house☝🏾 https://t.co/hZzLswOPu5
85,Denver coming out of another half ass lockdown...😏 Let’s see how it goes this time.
86,"@mapleleafs1634 @nationalpost Travel is not, lier! Contributes only maximum 2%. Where the hell is the other 98%? #COVIDIOT #lockdown #TOpoli"
87,If you can’t have all your fans there than no one should be there. This lockdown and governor are a fucking joke and maybe people should stop being sheep and take back their freedoms from the tyrant fuck.  This is bigger than football my friend. https://t.co/6BcQVWqmwt
