,0
36,"since, they, i, re, all, probably, vaccinated, ,, chances, are, they, i, all, pose, little, threat, floridians, ."
37,"science, works, not, easy, times, but, being, vaccinated, boosted, our, six, year, -, old, fully, vaccinated, ,, we, are, ready, slowly, get, back, prior, life, while, respectful, concerns, needs, others, i"
38,"encouraging, folks, get, vaccinated, is, not, "", political, point, i, envy, died, because, couid, ,, she, wasn, ', i, vaccinated, ., this, is, literally, willful, ignorance, ."
39,"don, i, i, my, all, get, vaccinated, when, they, first, join, military"
40,"did, that, other, guy, ever, even, bother, say, this, you, ,, america, i, i, i, speaking, experience, ., couid, is, no, joke, ., if, i, wasn, i, i, vaccinated, i, i, i, be, hospital, right, now, ., i, i, i, pleading, with, people, at, this, point, ., if, you, i, re, lucky, have, snuck, by, until, now, ,, cool, ., it, i, i, coming, ., go, ."
41,"i, think, vaccinated, or, see, yah, ., we, need, stop, playing, like, it, is, choice, ..."
42,"no, it, is, not, my, sister, i, are, both, vaccinated, i, got, it, her, ., you, can, i, i, get, tests, anywhere, or, quality, masks, good, lord"
43,"my, look, today, at, work, -, no, i, -, shirt, battle, but, still, wore, awesome, shirt, #, childlike, #, vaccinated"
44,"studies, show, that, vaccinated, will, die, within, three, years, complications, ., i, won, ', i, miss, ya"
45,"her, husband, issued, statement, that, she, was, not, vaccinated, that, was, problem, ."
46,"they, are, few, out, millions, pal, currently, infected, ., obviously, if, you, are, triple, vaccinated, ,, without, other, preexisting, conditions, still, relatively, active, chances, experiencing, mild, case, omicron, increases, ., if, five, %, get, more, complications, couid, that, is, huge, i"
47,"cases, at, all, time, high, still, no, guidance, early, intervention, providers, going, into, homes, day, cares, not, even, mask, requirement, families, these, are, kids, who, are, under, three, can, ', i, be, vaccinated, ., what, are, you, waiting"
48,"biden, said, he, wants, bus, drivers, vaccinated, busses, also, ,, can, i, i, make, this, crap, up"
49,"it, i, i, as, if, vaccine, keeps, spreading, because, not, enough, people, are, vaccinated, i, #, vaccineswork, #, vaccinessavelives"
50,"person, school, is, ideal, but, not, during, raging, pandemic, where, many, refuse, get, vaccinated, which, increases, chances, couid, spread, with, minimal, social, distancing, &, amp, ;, lax, mask, requirements"
51,"fans, are, i, strongly, encouraged, i, to, get, vaccinated, ,, get, tested, #, covid19, ,, wear, mask, #, cfbplayoff, national, championship, ., but, none, that, is, required, ."
52,"i, have, had, couid, seven, days, john, i, am, very, sick, ., i, am, fully, vaccinated, boosted, ., believe, me, it, i, i, not, mild, ., but, i, am, seventy-six, years, old, ., it, i, i, like, very, worst, flu, you, can, have, ."
53,"i, hope, you, i, re, doing, well, despite, circumstances, ., i, and, i, agree, ,, wear, mask, ,, get, vaccinated, ,, boosted, ,, help, slow, spread, ., folded_handsmedium, -, light_skin_tone"
54,"tell, me, why, people, text, me, crying, why, they, can, i, i, come, work, like, i, i, i, creator, this, vaccination, mandate, if, it, bothers, you, so, much, either, get, vaccinated, or, call, mayor, office, ,, but, don, i, i, call, me, #, ny, #, vaccinemandate"
55,"just, got, my, #, covid19, results, back, it, was, i, so, ,, i, just, want, y, i, all, know, that, this, thing, isn, i, i, joke, ., i, am, fully, vaccinated, still, got, it, ., please, just, be, as, careful, as, you, can, be, remember, ,, do, it, not, only, yourself, but, your, loved, ones, ."
56,"weren, i, i, we, supposed, get, $, one hundred, getting, vaccinated, face_with_monocle"
57,"vaccinated, as, well, ., mostly, vaccinated, with, other, medical, issues, or, older, vaccinated, but, also, younger, pal, who, are, vaccinated, but, smaller, numbers, ."
58,"i, got, vaccinated, today, ., i, sold, my, soul, devil"
59,"how, you, know, new, cases, vaccinated, tho, thinking_face"
60,"i, just, can, i, i, believe, we, i, ve, advanced, so, far, as, species, that, our, public, health, enforcement, pandemic, is, just, old, dude, yelling, at, us, get, vaccinated, ., like, it, should, be, socially, economically, crippling, at, this, very, point, time, not, be, vaccinated, ."
61,"i, only, really, know, handful, through, my, dad, ,, who, unfortunately, lives, texas, panhandle, ., lovely, woman, i, know, through, him, just, buried, her, fifty-nine, year, old, mother, ,, who, wasn, i, i, vaccinated, died, couid, ., that, still, wasn, i, i, enough, motivate, some, them, get, vaccinated, ., pensive_face"
