,0
31,"i, wouldn, ', t, want, sit, next, unvaccinated, person, anywhere, because, virus, is, spread, primarily, through, droplets, air, that, naturally, come, us, when, we, talk, or, even, just, exhale, ."
32,"note, dates, pro, mandate, was, nov2020, before, vaccines, ., now, we, have, mutations, thanks, unvaccinated, ., science, does, change, over, years, ., they, didn, ’, t, mandate, seatbelts, 50, ’, s, ., gona, argue, that, after, it, saved, lives, they, changed, laws"
33,"so, ,, you, would, like, see, more, unvaccinated, black, nurses"
34,"gop, lawmakers, ga, wanting, block, all, vaccines, will, cause, outbreaks, disease, such, as, measles, ., we, have, had, these, occur, unvaccinated, populations, before, ., public, health, standard, this, is, dangerous"
35,"my, family, doctor, 15, years, instituted, policy, that, he, will, not, treat, unvaccinated, patients, ., what, shame, it, has, come, this, ."
36,"vaccine, isn, ', t, great, protection, against, contracting, omicron, ., but, people, who, end, up, seriously, ill, hospitalized, are, largely, unvaccinated, ., get, over, it, seriously"
37,"aren, ’, t, most, their, deaths, covid, -, 19, ,, they, were, unvaccinated"
38,"those, you, who, are, afraid, dine, with, unvaccinated, ., it, ’, s, your, choice, stay, home, ., see, how, that, feels, good, mental, health, ,, we, are, this, together, ., #, truckersforfreedom2022, #, endthemandates"
39,"you, were, standard, bearer, divisiveness, ., you, wanted, make, it, difficult, unvaccinated, ., you, blatantly, ignored, science, data, ., you, don, ’, t, get, change, teams, pretend, that, you, ’, re, our, friend, now, ., you, own, your, role, team, apocalypse, forever, ."
40,"unless, unvaccinated, desperately, wanted, get, vaccinated, ,, &, amp, ;, couldn, ’, t, do, so, because, some, injustice, -, this, graph, is, pointless, even, if, it, is, accurate, ., people, are, free, make, choices, about, their, own, body, -, even, if, there, is, some, risk, ., they, chose, not, get, jab, …, right"
41,"no, ,, new, norm, is, saying, "", i, ', m, vaccinated, "", as, polite, way, saying, "", i, ', m, not, unvaccinated, then, complaining, that, there, ', s, consequences, my, own, actions, ."", no, one, is, commenting, much, those, who, are, unvaccinated, don, ', t, complain, ."
42,"last, fall, omicron, replaced, delta, as, dominant, variant, it, ', s, much, more, transmissible, ., you, ', re, still, less, likely, catch, it, ,, less, likely, be, hospitalized, if, you, do, ,, than, unvaccinated, people, ., new, variants, can, react, differently, vaccine, ., we, were, lucky, with, this, 1, ."
43,"gop, /, rnc, are, advocating, creating, new, variant, covid19, ., can, you, imagine, going, out, with, unvaccinated, people, then, they, give, you, new, variant, covid19"
44,"they, ’, re, unvaccinated, ., they, ’, re, hospitalized, when, #, covid19, deaths, are, highest, year, ., are, they, chastened, doing, whatever, they, can, survive, nope, ., they, don, ’, t, want, anyone, telling, them, what, do, ,, one, doctor, said, ."
45,"my, wife, did, ,, then, i, did, my, wife, ., but, it, was, brief, relatively, mild, us, ,, unlike, my, brother, ,, who, caught, it, while, unvaccinated, last, march, was, medically, -, induced, coma, weeks, ., he, ', s, still, recovering, ., i, had, 3, bad, days, ., please, get, vaccinated, if, you, can, ."
46,"ok, bunch, people, at, some, random, college, still, got, it, ., that, tells, us, literally, nothing, ., what, studies, have, shown, is, that, unvaccinated, transmit, virus, at, almost, twice, rate, vaccinated, ."
47,"according, cdc, ,, unvaccinated, are, 97x, more, likely, die, covid, than, vaccinated, ."
48,"again, minority, unvaccinated, people, aren, ’, t, putting, canada, at, risk, ,, you, ’, re, propagandized, ignorant, ."
49,"umm, ., “, unvaccinated, people, will, still, need, wear, masks, indoors, .”….., do, you, hear, yourself, insanity, ., i, ’, m, sure, this, will, work, as, well, as, requiring, criminals, not, use, guns, ."
50,"undermine, public, trust, institutions, ., oh, my, f, ', ing, ..., yes, -, there, is, massive, mistrust, gov, institutions, -, dhs, is, not, helping, expressionless_face, they, need, stop, lying, about, covid, hire, back, unvaccinated, humans, ps, vaccinated, humans, spread, covid, shushing_facezany_facezany_facezany_facezany_facezany_face"
51,"crying, ignorance, it, does, not, have, be, i, was, at, store, today, hardly, anyone, wearing, mask, we, are, still, middle, novel, virus, what, hell, is, wrong, with, people, more, people, are, dying, omicron, than, other, variants, ., it, is, so, contagious, /, unvaccinated"
52,"if, someone, ', s, against, it, ,, they, can, take, covid, test, before, they, cross, border, ., covid, test, is, no, more, invasive, than, our, mandatory, drug, tests, ., i, want, this, pandemic, be, over, ,, &, amp, ;, i, don, ', t, think, asking, 10, %, unvaccinated, truckers, take, tests, is, at, all, unreasonable, ."
53,"they, are, also, dead, ., most, dead, one, million, have, been, stupid, unvaccinated, ."
54,"remember, when, said, unvaccinated, were, going, experience, winter, severe, illness, death, because, omicron, ., american, president, that, ,, so, there, are, 6, more, weeks, make, that, come, true, …, what, ’, s, he, got, planned"
55,"vaccinated, act, like, they, can, ’, t, catch, it, spread, it, each, other, ,, you, right, it, can, be, caught, by, someone, sitting, next, you, …, but, you, forget, that, it, doesn, ’, t, matter, if, your, vaccinated, or, not, ., acting, like, unvaccinated, are, only, spreaders, is, ignorant"
56,"covid, -, 19, :, unvaccinated, doctor, says, ', vaccine, mandates, are, wrong, ', via"
57,"maybe, simpler, way, put, it, is, this, :, they, ’, re, more, likely, lose, 10, %, or, more, very, large, vaccinated, market, ,, than, pick, up, 100, %, tiny, unvaccinated, market, ."
58,"i, respect, your, opinion, ,, u, should, probably, listen, your, doctor, what, he, has, say, not, government, ., i, am, unvaccinated, but, i, can, understand, ., be, safe, all, you, my, fellow, canadians, ."
59,"its, really, too, bad, that, you, couldn, ’, t, have, been, voice, marginalized, ., stood, against, diskrimination, unvaccinated, ., called, equality, ., now, ndp, will, fall, right, line, with, how, ucp, portrays, u, ,, which, i, know, isn, ’, t, true, i, was, rooting, u, ., i, loved, ur, leadership"
60,"there, are, more, vaccinated, people, than, unvaccinated, ., how, many, vaccinated, people, will, simply, stop, attending, these, businesses, without, protection, rep, i, will, be, one, ., i, am, sure, there, will, be, quite, few, ."
61,"as, soon, as, there, ', s, free, widely, available, vaccine, obesity, or, other, health, issues, with, extremely, high, degree, protection, hospitalization, &, amp, ;, death, we, ', ll, talk, ., good, news, is, that, population, unvaccinated, people, is, self, -, correcting, problem, ., darwin, would, be, proud, ."
62,"this, is, dangerous, parallel, frankly, ,, insult, people, who, died, complications, hiv, /, aids, ., people, were, literally, begging, life, -, saving, treatments, then, ., meanwhile, ,, unvaccinated, people, are, *, choosing, *, refuse, life, -, saving, treatments, ."
63,"i, literally, had, anti, vaxxer, just, brag, about, how, her, unvaccinated, family, all, got, covid, her, vaccinated, nephew, he, ', s, only, one, hospital, ., like, a, ,, why, would, you, brag, about, that, b, ,, if, it, is, true, do, you, not, understand, basic, concept, outliers"
64,"many, people, with, school, -, aged, children, also, have, kids, under, 5, ., lifting, masking, schools, means, less, protection, those, younger, unvaccinated, siblings, ."
65,"just, follow, zello, you, ', ll, hear, what, ', s, happening, ., it, ', s, quite, brilliant, because, they, are, showing, us, what, unvaccinated, risk, group, looks, like, when, placed, isolation, ."
66,"sure, ,, vast, majority, people, who, ’, ve, died, covid, had, co, -, morbidities, ., still, ,, otherwise, healthy, people, can, still, die, covid, ., considering, those, vaccinated, are, 97, times, less, likely, die, than, unvaccinated, ,, claiming, anybody, wouldn, ’, t, benefit, it, is, nonsensical, dangerous, ."
67,"also, note, that, getting, covid, -, 19, while, unvaccinated, has, host, more, problems, than, vaccinated, ., most, recent, -, again, ,, this, needs, be, accepted, community, -, could, be, huge, factor, excess, deaths, we, have, seen, will, see, future, ."
68,"it, ’, s, not, surrender, ,, it, ’, s, realization, that, there, are, no, more, minds, move, ,, that, deaths, among, willfully, unvaccinated, is, collateral, damage, ., rest, us, are, expected, keep, calm, carry, on, ., why, not, ."
69,"craig, kelly, should, be, ventilator, so, that, he, can, experience, whole, unvaccinated, covid, experience, #, novaccinemandate, #, novaccinemandate"
70,"except, numbers, show, jab, does, slow, transmission, reduces, serious, illness, &, amp, ;, death, while, unvaccinated, are, dying, at, more, than, 20x, rate, vaccinated, ."
71,"dude, you, literally, said, it, yourself, she, ’, s, concerned, about, other, ’, s, wellbeing, what, ’, s, case, here, “, getting, sick, ,, getting, covid, unvaccinated, classmates, ”, this, stems, fear, not, logic, ., im, desperately, explaining, same, thing, 100, times, maybe, you, ’, d, get, it, finally"
72,"businesses, can, ', t, run, without, qr, codes, scanned, ,, people, can, ', t, go, school, or, work, without, vaccine, ,, locals, are, being, harassed, or, threatened, as, unvaccinated, are, also, family, /, friends, abandon, ,, many, can, ', t, leave, their, homes, during, "", quarantine, "", or, lockdowns, ., isn, ', t, it, nuts"
73,"businesses, can, ', t, run, without, qr, codes, scanned, ,, people, can, ', t, go, school, or, work, without, vaccine, ,, locals, are, being, harassed, or, threatened, as, unvaccinated, are, also, family, /, friends, abandon, ,, many, can, ', t, leave, their, homes, during, "", quarantine, "", or, lockdowns, ."
74,"omicron, has, been, particularly, lethal, people, over, 75, ,, unvaccinated, medically, vulnerable"
75,"it, ', s, actually, really, not, that, bad, not, be, vaccinated, go, about, your, life, ., unvaccinated, aren, ', t, ones, making, everything, weird, ."
76,"canadian, premier, compares, hiv, /, aids, stigma, unvaccinated, stigma, ., let, that, sink, moment, ....., his, name, is, his, comm, director, is"
77,"convince, myself, what, i, said, that, unvaccinated, but, recovered, are, still, getting, virus, ., natural, immunity, is, not, permanent, ., most, effective, is, both, natural, vaccinated, immunity, ."
78,"if, kenney, truly, thought, that, unvaccinated, were, similar, those, who, had, aids, 80s, then, he, would, be, oppressing, shit, out, unvaccinated, ."
79,"so, long, as, they, continue, have, those, kind, data, reports, then, i, ', m, not, all, together, convinced, that, taking, their, vaccine, is, going, prevent, death, or, infection, they, ', re, going, with, total, number, unvaccinated, cases, since, very, beginning, ."
80,"not, mine, but, excellent, :, anti, -, vaxxers, point, out, that, there, are, more, vaccinated, people, hospitals, than, unvaccinated, ., this, is, known, as, base, -, rate, error, ., it, ', s, like, saying, that, right, -, handed, people, are, bad, at, driving, because, they, cause, most, accidents"
81,"i, don, ’, t, understand, it, either, ., like, everyone, ,, i, ’, d, love, see, this, pandemic, behind, us, ,, but, too, much, world, is, still, unvaccinated, or, only, has, one, shot, ,, that, includes, all, idiots, good, ‘, ol, usa, ., we, only, have, something, like, 65, or, 70, %, vaxxed, wayyy, lower, boosted"
82,"we, must, continue, #, holdthelinecanada, until, all, people, have, freedom, choose, ,, jobs, are, restored, unvaccinated, ,, no, more, mandatory, testing, out, pocket, ,, complete, restoration, normal, life, our, youth, ..., end, plan, world, agenda, 2030, ., #, truckersforfreedom2022"
83,"medicare, will, cover, treatment, is, like, $, 1500, at, month, ., this, clown, is, saying, that, unvaccinated, vet, can, ’, t, get, heart, because, their, decision, ., but, i, can, go, do, it, raw, us, will, paid, my, med, ."
84,"ok, cool, lmao, we, ', re, just, going, do, it, all, over, again, 2024, ,, keep, mind, back, 2020, we, outnumbered, trump, fans, by, over, 7, million, ,, most, trumps, unvaccinated, fan, base, are, dead, now"
85,"how, do, you, figure, unvaccinated, people, are, prolonging, pandemic, when, vaccinated, people, spread, disease, just, as, much, how, do, you, explain, all, injuries, deaths, vaccine, why, should, people, risk, dying"
86,"i, ’, m, queer, i, do, care, about, his, 80s, position, ., i, think, we, can, both, agree, that, mass, death, gay, men, 80s, because, aids, is, not, comparable, unvaccinated, not, being, allowed, dine, at, restaurant, ., i, want, normalcy, too, but, we, must, stand, up, hate, prejudice, ."
87,"i, say, bullshit, …., he, will, follow, what, other, provinces, are, doing, doing, it, as, if, it, was, his, idea, do, it, ., no, balls, horgan, will, lift, them, under, pressure, unvaccinated, terrorists, so, once, i, get, covid, i, can, sit, freely, restaurant, sarcasmly, said"
88,"yes, ,, unvaccinated, probably, keep, dying, no, longer, need, hospital, bed, thinking_face"
89,"does, this, make, sense, can, you, make, it, make, sense, most, are, unvaccinated, ,, stacy, is, ,, if, you, check, new, guidelines, it, ’, s, really, nothing, wrong, with, stacy, ’, s, pic, ., but, fake, outrage, yourself, like, sheep, you, are, ."
90,"check, cdc, study, it, showed, 2, -, 5, less, reinfection, hospitalization, i, ., natural, immuned, individual, unvaccinated, vs, double, vaccinated, individual, july, november, 2021, with, delta, .., i, put, link, ., guess, you, don, ’, t, like, newest, cdc, study"
