,Text
47,"Skin needs self-care too
Multi masking pamper routine with @sanne_vander is the perfect, luxury-laden treat for your skin
@houseofdohwa wash off masks are: 
✔️ all natural
✔️ vegan &amp; cruelty free
✔️ based on Korean skincare traditions
✔️ domestically harvested in Korea
#Shopee https://t.co/s5oXnBUukN"
48,Professional team they have here when P’News get both boys to remove the masks for the fans to take photos #ทำบุญขึ้นห้อง609 https://t.co/tNGPo7KKgc
49,"i’m not good looking or attractive.

so since studies shows wearing masks makes guys more attractive then i would continue wearing masks la hor.

every small bit counts. https://t.co/YdnCmbVhN4"
50,"i’m not good looking or attractive.

so since studies shows wearing masks makes guys more attractive then i would continue wearing masks la hor.

every small bit counts. https://t.co/RPcxTehO6L https://t.co/nI1H9mJwJg"
51,"@HossanLeong i’d continue wearing masks if it’s optional.

allows me to maintain a straight face and keep people from recognising me.

also great way to avoid making small talk. also can curse and smirk when encountering idiots on the public transport.

is it really uncomfortable????"
52,"Arts Picks: Malay Heritage Centre's Cerita, women artists at Sundaram Tagore Gallery and online showcase of masks https://t.co/kZVwQp1T6C"
53,"Denmark has become the first EU country to lift all of its Covid-19 restrictions. Residents no longer have to wear masks indoors or limit their social interactions.

https://t.co/lUomVIEMir https://t.co/qRBKlJlbEq"
54,@HossanLeong @JadeRasif You're not wrong @HossanLeong masks should be optional
55,"@AskDrShashank Masks, elderly being watchful  plus higher push for flu vaccines possibly?"
56,"@ctosays @clairlemon Thank you. That paper supports my position. ""however, cloth masks may be used to prevent community spread of infections by sick or asymptomatically infected persons, and the public should be educated about their correct use."""
57,@ctosays @clairlemon Interesting. Because I recently dug up a study published in a reputable peer reviewed journal that says that despite their limitations; cloth masks are effective at slowing the spread of covid. When I have the energy I will see if I can dig that study up.
58,"Stuff we have now officially been doing for “years”: 

- working from home
- wearing masks
- avoiding large groups 
- looking nervous when someone coughs
- waiting for “that” boarder to open so we can go
- sticking stuff up noses 
- being confused about NFTs"
59,Finally iOS being updated so it will unlock the phone with face masks on. In Asia we will have this thing called COVID so hugely welcome #apple https://t.co/Ye2iWnMwT3
60,Masks work. #thatsall
61,@HossanLeong No. Still need masks. Still need jabs forever and ever...
62,#hashtag1 Child Kids Adults Disposable Face Masks 3 Layer Unicorn Prints https://t.co/N2NDDewORE https://t.co/zBMVqL1cBe
63,@nathaliejacoby1 I haven't. Most people here in Singapore are triple vaccinated but everyone still masks up outside. Less than 900 total deaths since the start of the pandemic.
64,"Wearing our Bai Nian masks. Happy CNY everyone! Have a roaring year of the tiger ahead! 🐯🐯🐯
.
.
.
#chinesenewyear 
#cny
#tiger
#yearofthetiger 
#maskoftheday
#boughtmaskjustforthis
#notsurewhenwearingitnext https://t.co/HOWSeoQdwo"
65,"@JeromeAdamsMD But if masks don't stop the spread as well as vaccines, as you said, and vaccines don't stop the spread either, but as key decouple from severe outcomes, why do kids in high-vax CT, for example, need to mask to protect an adult in TX who has chosen not to vaccinate? US is big!"
66,"France lifts Covid-19 restrictions as case numbers ease

February 02, 2022 7:01 PMAmong other things, wearing face masks outdoors will no longer be mandatory from Wednesday (Feb 2).

https://t.co/JSbLACcZTu https://t.co/1hzGYSc59s"
67,"@JeromeAdamsMD Ok but just so you know there’s currently just as much Covid in Singapore as US despite the masks (outdoors too!) and Bluetooth contact tracing and limits on ppl you can see per day (5!) and vax passports w QR codes, and kids still mask in school here. 🤷🏻‍♀️"
68,Anyone complaining about face masks in cold climates (Australia in June or Europe 95% of the year) needs to stfu and come to Singa 🥵 😷 suffocating.
69,"Finally allowed out to explore Singapore. Did a generous amount of sweating (32°C and masks are compulsory here, even outdoors) and took a stroll in the shadow of the monstrously large @marinabaysands 
#Singapore #Masks https://t.co/zh0HKN0y1O"
70,Do wearing masks really make people attractive? 🤔🤔 https://t.co/yXDKW9djNy
71,@samanthamaiden @newscomauHQ Here in Singapore the govt is handing out free N95-grade reusable masks from vending machines at each town centre https://t.co/9XOllMv2iw
72,"Just picked up my free N95-grade face mask from the Singaporean government vending machine in my area. In the past they've dispensed face masks, rapid tests, and other useful tools repeatedly for free over the course of this pandemic #covid19 #singapore #auspol #auscovid https://t.co/8Jyqesdtej"
73,"""#Razer admits its masks aren't N95 grade after all""

https://t.co/vcAfvf2ISX"
74,"""Medical face masks make men look more attractive, UK study finds""

https://t.co/r6Q6esVQdn"
75,What?! They are giving out reusable masks? I thought it is established they are nothing but face decoration against Omicron?
76,"Items 
-plastic raincoat, jogging shoe, slipper, bicycle lock, elastic hook, foldable bike with foldable basket for carrying thing
Small jogging bag, a medium jogging bag, plastic bags, wallet with ezlink, cash, debit card. Water bottle. Masks. Spare socks. Keys with TT, Carkey"
77,"Just collected the free masks for Mom and me.  Looks good! Thank you! 🙂
.
.
#thankyou #temasekfoundation #Covid19 #Singapore #Singaporemyhome #happytravellerinSG @ Kaki Bukit Estate, Singapore https://t.co/Njt4JWkPw0"
78,@legallysmartsg I guess KF94 and KN95 offer 94% and 95% protection vs 90% for surgical masks and as Low as 50% for fabric masks.
79,"Maskenpflicht gilt btw drinnen und draußen, überall, wenn nicht gerade gegessen oder getrunken wird. Wegen der Luftfeuchtigkeit tragen wir deshalb draußen surgical masks und drinnen FFP3"
80,First day back in office... My ears hurt....small useless cartilage lacking ears are not used to wearing masks for more than 6 hours at a time anymore. Sigh.
81,another year with masks on
82,"As much as we wanted to remove our masks throughout our USS adventure, we can't do it or otherwise we have to pay a penalty fee! 😂 We all still enjoyed the day! 😎 It was FUN &amp; tiring! 😝 #BoxingDay https://t.co/m4ADtcSMZC"
83,"@isoroomnft It is because people wear masks and build walls around their hearts. Once trust is formed, you’ll be embraced with warmth of love.

@__findsaway__ @christineekiim @NStyle0 @hansen______ @GeekNYWoo"
84,Retiring all the reusable masks ...hello surgical
85,"中国要和老美玩！

快点禁止中国口罩和稀土进口，因为两者都含有新疆的成份!

China wants to play with Lao Mei!(U.S.)

 Hurry up and ban the import of Chinese masks and rare earths, because both contain ingredients from Xinjiang!

新加坡刘松涛短评
Singapore Liu Sungtao Short Comment"
