,Text
43,"Cegah Lonjakan Omicron, Kemenag Terbitkan SE Terkait Pelaksanaan Kegiatan Keagamaan https://t.co/CMMZkTVbvF"
44,"As a result of this , people may feel that covid is no big deal.

At this stage with Omicron, people may have a false analysis that the whole covid thing seriousness is overplayed by govt.

But it's not. 

Alot of young people die. Especially during alpha , delta period ."
45,"Mr @elonmusk and @Chrysto 

Travel restrictions easing because Omicron &amp; Singapore Teslas can drive to Malaysia 

EV community is pumped but the big question is ""when Tesla and superchargers will come to Malaysia"" 

https://t.co/6pmPxLBuYQ"
46,Did Omicron jump from mice to men? Chinese scientists say it’s possible https://t.co/9CU7dkiYTV https://t.co/ZKqTSMvAn7
47,Cegah omicron dengan larangan perjalanan ke luar negeri https://t.co/bJcCqwLhUl
48,Masyarakat tak perlu panik dengan omicron https://t.co/0tsm6uL3jp
49,Kit Siang urges Health Ministry to reveal how many of the daily Covid-19 cases are Omicron and Delta | Malay Mail https://t.co/eokorg2inX
50,Kit Siang urges Health Ministry to reveal how many of the daily Covid-19 cases are Omicron and Delta | Malay Mail https://t.co/KdCZreUgTR
51,"Pemerintah Kembali Terapkan PPKM Untuk Menekan Penyebaran Covid Varian Omicron
Taat Protokol Kesehatan https://t.co/NWOe9wOJCj"
52,"Pemerintah Kembali Terapkan PPKM Untuk Menekan Penyebaran Covid Varian Omicron
Taat Protokol Kesehatan https://t.co/rc4eFuJ6FJ"
53,Sifat covid19 menyebar dlm kelompok. Vaksin hanya bertahan 6 bulan je. Ditambah dgn rakyat yg tak percaya bosster &amp; varian baru omicron.. maka lebih cepatlah covid19 menyebar
54,"Yg patut dipertanyakan pemberi izin, kenapa diberi izin dalam kondisi pandemi covid 19 dan kemunculan varian baru omicron ??

https://t.co/YTq6qSwawA"
55,Pemerintah menjamin pelayanan kesehatan dimasa meningkatnya varian Omicron. Taat Protokol Kesehatan https://t.co/zQMZVEXb88
56,Pemerintah menjamin pelayanan kesehatan dimasa meningkatnya varian Omicron. Taat Protokol Kesehatan https://t.co/k9ALMKxnAA
57,Pemerintah menjamin pelayanan kesehatan dimasa meningkatnya varian Omicron. Taat Protokol Kesehatan https://t.co/JOuSLjFIux
58,"US Covid-19 death toll surpasses 900,000 as Omicron's spread slows https://t.co/YLGUKki17B"
59,Lab tests show Paxlovid is effective against Omicron https://t.co/dr7JhM6sQQ
60,"Anal swab test reappears, Omicron may cause brain fog, shrinkage of genitals https://t.co/weL99wMqnh"
61,"Antifa incriminate the peaceful protestors in Brussels, Omicron infection in 2 minutes! https://t.co/U9DguI38xZ"
62,"Spring Fills the Airport, Medigen works against Omicron https://t.co/MvZjS1h6Tt"
63,"Haikou leopard cats, Omicron reinfection, ZYESAMI can treat severe covid https://t.co/RQYHMpj6Wd"
