,0
34,"hpm, #, sheikhasina, has, inaugurated, #, covid19, #, vaccination, #, dhaka, ,, #, bangladesh, :, runu, veronica, costa, ,, senior, staff, nurse, at, kurmitola, gen, ., hospital, ,, received, first, -, #, astrazeneca, #, vaccine, ., nationwide, mass, #, covidvaccination, start, feb, 7"
35,"#, indiafightscorona, covid, -, 19, vaccine, is, absolutely, safe, efficacious, ., make, sure, that, you, take, vaccination, your, turn, ., if, you, experience, any, side, effects, ,, contact, your, health, provider, /, vaccinator, supervising, your, vaccination, ., #, largestvaccinedrive"
36,"#, bangladesh, today, begins, mass, #, vaccination, against, #, coronavirus, #, covid19vaccination, #, covid_19"
37,"congratulations, our, frontline, workers, #, nepal, getting, first, dose, #, covid, vaccination, you, guys, are, our, #, unsunghero, purple_heartflexed_bicepsmedium_skin_tonefolded_handsmedium_skin_toneclapping_hands, forever, grateful"
38,"#, thankyoudubai, it, is, rulers, caring, about, country, it, is, residents, ., managing, covid, -, 19, crisis, effectively, ., entire, swift, ,, effectively, organized, free, vaccination, program, ., already, vaccinating, almost, 30, %, population"
39,"covid, 19, vaccination, day, kathmandu, manag, district, -, post, dr, rydam, basnet, dr"
40,"ingmt, —, un, agencies, working, closely, with, india, covid, vaccination, drive, :, india, ,, un, team, ', s, work, has, led, five, -, fold, increase, investments, address, gender, -, based, violence, ..., “, we, have, also, trained, 47, ,, 000, nurses, others, address, …"
41,"what, has, it, going, take, uk, government, deal, with, covid, -, 19, properly, seems, like, more, half, -, arsed, measures, be, implemented, at, some, point, future, ., vaccination, program, is, admirable, but, they, need, tackle, this, all, angles, #, coronavirusuk"
42,"covid, -, 19, vaccine, is, now, being, made, vaccination, #, rangoon, other, cities, #, burma, ., priority, is, being, given, government, parliamentarians, ,, health, workers, volunteers, ., #, jan27_2021"
43,"how, register, online, #, covid, #, vaccination, see, this, video, know, ., website, :, post, -, note, :, kindly, wait, register, till, official, inauguration, vaccination, program, by, prime, minister, #, sheikhasina, 27, jan, 2020, wednesday, after, 3, ., 30, pm, bst, ."
44,"adoronio, modiji, ,, we, chemist, fraternity, india, which, is, more, than, 8, ., 5, lacs, number, is, not, feeling, safe, as, you, are, not, yet, considering, us, as, *, covid, warrior, *, not, considerig, us, vaccination, ., we, are, always, with, you, ."
45,"please, vaccination, 50, plus, vulnerable, groups, ., it, ’, s, great, time, covid, rates, are, falling, ., so, offices, ,, schools, parks, can, be, open, ., vaccinate, india, first, then, send, abroad, ."
46,"everyone, are, invited, attain, vaccination, covid, -, 19, ., previously, infected, candidates, also, need, take, vaccine, ., active, infections, covid, ,, pregnants, ,, age, less, than, 18, years, breast, feeding, mothers, are, contraindicated, vaccination, ."
47,"malaysia, targets, 75, ,, 000, daily, jabs, initial, covid, -, 19, vaccine, rollout, covid, -, 19, vaccination, program, is, expected, recruit, &, gt, ;, 10, ,, 000, staff, ,, such, as, gps, ,, pharmacists, ,, nurses, ,, red, crescent, ,, st, john, ambulance, ,, community, volunteers, -"
48,"fortune_cookiedotted_six, -, pointed_star, just, everest, like, empathy, reaches, this, high, ., l, laundry, ., #, trumptreason, #, trumpvirus, u, ., s, ., covid, -, 19, death, toll, tops, 422, ,, 000, as, biden, prepares, boost, daily, vaccination, targets, :"
49,"cowin, portal, is, seamless, ,, dear, t, s, selvavinayagam, ,, congratulations, you, are, successfully, administrated, with, 1st, dose, covid, -, 19, vaccine, at, rggh, 103, at, 05, :, 05, pm, 25, -, 01, -, 2021, by, vaccinator, xxxxx, xxxxx, ., case, queries, post, vaccination, ,, contact, our, help, line, at, 1075, -, cowin"
50,"message, covid, vaccination"
51,"first, batch, frontline, workers, field, staff, amar, seva, sangam, we, are, inoculated, covishield, vaccine, as, part, nationwide, vaccination, program, ., amar, seva, sangam, appreciates, all, them, ., #, amarsevasangam, #, livetoserve, #, covid_19, #, corona"
52,"monkey, macaque, going, through, covid, -, 19, vaccination, @, rifle, range, road"
53,"indian, industry, has, critical, role, play, covid, vaccination, program, ,, writes, t, v, narendran, ,, president, designate, ,, cii, ., #, cii4india, #, cii4health, #, covid19vaccination"
54,"#, vaccine, #, vaccination, #, vaccinationcovid, #, vaccinations, #, vaccin, #, covid_19, #, covid19, #, covidvaccine, #, coronavirus, #, malaysia"
55,"with, successful, beginning, vaccination, health, staff, front, line, warriors, against, covid, it, us, earnestly, hoped, common, man, will, also, get, this, opportunity, protection, ., cowin, app, opening, needs, widespread, announcements, as, when, it, is, implemented"
56,"#, covinated, covid, 19, +, vaccinated, ., thanks, #, pmoindia, such, well, planned, vaccination, drive, ."
57,"when, prick, is, good, thing, grateful, privilege, ,, proud, our, frontliners, ,, while, road, is, long, -, can, ’, t, wait, time, smiling, faces, ,, shaking, hands, ,, cozy, lunches, &, amp, ;, giving, hugs, ., #, igotvaccinated, #, indiafightscorona, #, covidvaccination, #, fortishealthcare, #, covid19safety"
58,"pm, exhorts, youths, defeat, ', network, lies, rumors, ', covid, -, 19, vaccination, with, right, information, via, namo, app"
59,"hon, madam, please, ensure, that, enlistment, names, covid, vaccination, above, 50, population, can, be, done, online, instead, doing, it, physically, queuing, up, particularly, senior, citizens, elderly, frail"
60,"update, #, covid_19, vaccination, more, than, 19, ., 5, lakh, healthcare, workers, vaccinated, across, country, 3, ,, 34, ,, 679, beneficiaries, vaccinated, till, 7, ., 10, pm, 10th, day, 25thjan, vaccination, drive, #, vaccine, #, covidvaccine"
61,"five, million, doses, #, oxfordastrazeneca, covid, -, 19, #, vaccine, has, arrived, #, bangladesh, ., prime, minister, #, sheikhasina, is, scheduled, launch, pilot, #, covid19, vaccination, drive, 27th, january, ., #, covid19vaccine, #, coronavirusvaccine, #, bangladeshfightscorona"
62,"covid, -, 19, vaccines, –, how, fast, can, vaccination, against, covid, -, 19, make, difference"
63,"covid, app, already, launched, by, goi, ,, vaccination, also, started, ,, if, delhi, govt, is, really, bothered, you, should, come, up, with, 4, zonal, hospitals, treatment, dental, accidental, cases, ."
64,"india, ’, s, rollout, covid, -, 19, vaccine, inoculation, ,, world, ', s, largest, vaccination, drive, ,, has, shot, off, as, fastest, world, too, ., first, 1, million, doses, india, took, just, 6, days, ,, while, uk, usa, took, 18, 10, days, respectively, ., stay, alert, against, rumors, #, vaccineforall"
65,"My, India, is, great, folded_handsfolded_hands, Do, not, panic, ,, get, the, syringe, vaccinated, ,, stay, away, from, unnecessary, rumors, ., folded_hands, get, vaccinated, without, panic, ||, Do, not, link, getting, the, vaccine, with, politics, ., #, covidvaccination, #, covaxin, #, covid19, #, who, #, indiafightscorona"
66,"india, extends, #, covid, vaccination, drive, foreign, missions, ,, requesting, them, respond, offer, by, 29th, january, ."
67,"they, have, excluded, covid, hospital, as, vaccination, center, given, vaccine, administrative, staff, hospitals, not, involved, covid, work, such, as, zydus, hospital, anand, while, our, residents, who, have, slogged, months, have, not, got, their, first, dose, yet, ., shameful"
68,"pm, exhorts, youths, defeat, ', network, lies, rumors, ', covid, -, 19, vaccination, with, right, information"
69,"72, hrs, since, got, covishield, -, ed, ., no, pain, ,, no, fever, ., thank, you, indian, government, giving, healthcare, workers, priority, ., #, covishieldvaccine, #, covidvaccination"
70,"finally, got, 1st, dose, #, covidvaccination, ., feeling, better, ., #, healthcareheroes, #, nationkavaccination, #, frontlineheroes, thanks, clearing, doubts, radio, session, ."
71,"great, modig, pm, exhorts, youths, defeat, ', network, lies, rumors, ', covid, -, 19, vaccination, with, right, information, via, namo, app"
72,"I, got, vaccinated, on, 23rd, January, ,, after, that, completely, completed, my, regular, routine, ., You, too, can, definitely, get, the, vaccine, when, it, is, your, turn, ., #, covidvaccination"
73,"covid, vaccination, shq, bsf, malkangiri, odisha"
74,"india, India, begin, covid, -, 19, vaccine, exports, saudi, Saudi_Arabia, ,, morocco, Morocco, #, morocco, #, maroc, #, المغرب, #, africa, #, india, #, भ, ा, रतवर, ्, ष, #, ksa, #, saudi, #, saudiarabia, #, covid, #, covid19, #, coronavirus, #, vaccine, #, vaccination, via"
75,"majority, doctors, hesitant, get, covid, vaccine, ., online, registration, not, possible, ., spot, registration, doctors, stopped, today, ., many, turned, away, vaccination, centers, pathetic, implementation, #, covidvaccine, #, coronavirusvaccine, #, covid19vaccination, #, covid19vaccine"
76,"#, covidvaccination, The, Covid, 19, preventive, vaccination, started, today, in, the, presence, of, at, the, Sub, -, District, Hospital, ,, Deglur, in, Deglur, constituency, ., The, vaccine, is, being, given, to, health, workers, in, the, first, phase, ., Accordingly, ,, the, first, vaccine, was, given, to, Nga, ., Malshetwar, ."
77,"covid, vaccination, today, bahadurgarh, civil, hospital, ."
78,"ranks, rajasthan, as, best, prepared, state, #, covidvaccination, rajasthan, arround, 97, %, #, covid, vaccine, we, are, utilized, during, first, 3, days, against, target, 90, %, leading, charge, ., flexed_biceps"
79,"connecting, national, capital, new, delhi, with, mau, district, ., mau, -, anand, vihar, terminal, special, flagged, off, after, commencement, covid, vaccination, ,, running, this, special, train, will, improve, economic, activities, district, ."
80,"india, ’, s, rollout, covid, -, 19, vaccine, inoculation, ,, world, ', s, largest, vaccination, drive, ,, has, shot, off, as, fastest, world, too, ., first, 1, million, doses, india, took, just, 6, days, #, vaccineforall"
81,"Rolling_on_the_floor_laughing, #, vaccinestrategy, #, vaccine, #, covidvaccination, #, vaccinemaitri, #, covid_19"
82,"Like, #, pcrtest, ,, #, covidvaccination, will, also, be, done, free, of, cost, to, the, private, sector, and, free, to, the, government, ."
83,"so, let, me, get, this, right, i, cannot, say, bill, gates, i, cannot, say, covid, -, 19, i, cannot, say, vaccination, i, cannot, say, 5g, just, so, I, am, clear, thinking_face"
84,"#, covidvaccination, #, covid_19, #, proudmoment, #, grateful"
85,"pm, exhorts, youths, defeat, ', network, lies, rumors, ', covid, -, 19, vaccination, with, right, information, download, economic, times, app, stay, updated, with, business, news, -"
86,"covid, vaccination, review, plz, share, the, review, of, covid, 19, vaccination, please, ., syringetest_tubesyringetest_tubesyringetest_tubesyringetest_tube, #, covid19, #, covid_19, #, corona, #, covaxin, #, review, #, answer, #, share, #, latest, #, covid19vaccination, #, india, #, indiawins, #, narendramodi"
87,"pm, modi, exhorts, youths, defeat, ', network, lies, rumors, ', covid, -, 19, vaccination, ., na, baba, ncc, is, not, meant, this, work, better, use, rss, bhakts, ."
88,"i, wonder, where, is, prof, his, thought, how, india, mis, -, handled, #, covid_19, pandemic, ., maybe, how, it, is, is, running, successful, largest, vaccination, program, &, amp, ;, also, peovindinto, other, countries, while, us, us, still, struggling, becuase, politics, well, ex, pres, ., tcowboy_hat_face"
89,"aviation, ministry, urges, health, ministry, prioritize, covid, -, 19, vaccination, airlines, ,, airports, employees, ., #, covid_19, #, covidvaccine, i, reportbackhand_index_pointing_down"
90,"sri, lanka, &, amp, ;, bangladesh, will, begin, country, wide, vaccination, this, week, with, india, made, covid, vaccines, ."
91,"66, %, answered, it, correctly, answer, is, no, ,, vaccination, covid, -, 19, is, voluntary, ., however, ,, it, is, advisable, receive, complete, schedule, covid, -, 19, vaccine, protecting, oneself, limiting, spread, disease, ."
92,"#, vaccine, #, covid_19, #, covid19, #, covid19vaccination, #, covidvaccination"
93,"23, /, 1, /, 20, versus, 23, /, 1, /, 21, what, ., a, ., year, ., started, at, taj, malal, ended, with, shift, covid, vaccination, center, ., @, taj, mahal"
94,"connecting, national, capital, new, delhi, with, mau, district, ,, special, train, 05025, /, 26, mau, anand, vihar, special, express, has, started, today, 24, january, ., after, commencement, covid, vaccination, ,, running, this, special, train, will, improve, economic, activities, district, ."
95,"#, largestvaccinedrive, #, unite2fightcorona, "", healthcare, workers, should, not, fear, jabs, ,, #, covidvaccination, safe, ."", -, dr, ., samiran, panda, ,, head, -, epidemiology, &, amp, ;, communicable, diseases, division, ,, icmr, delhi, interview, with, new, indian, xpress"
96,"dismal, #, covid19, scenario, ,, which, country, is, standing, tall, undoubtedly, ,, #, india, ,, not, just, with, it, is, #, vaccinediplomacy, ,, but, also, with, it, is, effective, handling, domestic, spread, world, ', s, largest, vaccination, drive, against, covid, .#, pharmacyoftheworld"
97,"Countries, which, had, built, big, hospitals, are, asking, for, "", vaccine, "", from, "", Hindustan, "", who, built, temples, today, ..., #, vaccinemaitri, #, covidvaccination"
98,"modi, haters, feel, like, ....., #, justkidding, #, nooffense, #, covid19, #, covidvaccination"
99,"agreed, ., vaccination, awareness, is, must, now, ,, as, part, post, -, covid, -, way, -, forward, -, plan, ."
100,"message, week, .., *, on, #, covidvaccination, ,, *, insurance, cover, by, pm, flagship, program, #, ayushmannbharat, providing, cashless, health, cover, all, below, poverty, line, families, all, four, regions, #, puducherry, #, republicday, greetings, ."
