,0
37,"novant, health, update, 10, /, 12, :, decline, cases, as, we, come, out, this, 4th, wave, ., more, than, 95, %, patients, icu, are, unvaccinated, ."
38,"when, did, personal, freedom, become, so, controversial, people, are, really, not, talking, others, because, opinions, vaccines, masks, really, friends, you, can, get, this, virus, vaccinated, person, or, unvaccinated, person, so, what, are, we, fighting, about"
39,"unvaccinated, really, don, ', t, promise, you, safety, ., unvaccinated, are, one, that, are, dying, ., grow, pair, be, like, tfg, wear, your, pants, backwards, grinning_face_with_sweat"
40,"every, state, country, has, basically, said, that, all, these, people, who, are, icus, right, now, are, unvaccinated, 90, something, percent, here, is, thing, how, you, going, argue, with, science"
41,"#, covid19, numbers, nebraska, have, largely, plateaued, but, remain, elevated, with, unvaccinated, driving, infections, ., case, rates, rural, ne, ,, where, vaccination, rates, are, lower, ,, are, almost, double, those, state, ’, s, biggest, cities, ., story, via"
42,"thinking, about, parents, going, protest, at, queen, ’, s, park, today, after, their, children, ’, s, unvaccinated, classes, were, rearranged, become, bigger, during, covid, ’, s, 4th, wave, ., shame, giving, no, help, endangering, children, ., #, onted, #, onpoli"
43,"they, ’, re, taking, their, sick, time, vacation, time, before, they, ’, re, let, go, being, unvaccinated, ., this, could, continue, month, or, more, ."
44,"how, many, people, are, wearing, this, but, are, unvaccinated"
45,"first, second, wave, were, appallling, horror, show, ., give, you, idea, we, are, currently, at, 11420, death, but, we, reached, ten, thousand, last, december, ., so, if, you, had, calm, unvaccinated, first, year, ,, but, are, still, catching, up, us, you, been, having, very, bad, time, 2021, ."
46,"woke, up, country, hardening, it, ’, s, resolve, either, mandate, vaccines, or, refuse, vaccines, grounds, “, freedom, .”, reminder, ;, your, freedom, cannot, come, at, price, unvaccinated, children, ’, s, health, ."
47,"survey, kaiser, ,, ""..., 71, percent, unvaccinated, respondents, said, need, boosters, indicated, that, vaccines, were, not, working, ."", awesome, #, covid, #, vaccine, #, booster"
48,"just, saw, shirt, that, said, “, unvaccinated, lives, matter, ”, when, will, this, end"
49,"sports, doesn, ', t, stop, n, busted, economy, ,, churches, stays, open, n, busted, economy, ,, colleges, stays, open, ,, even, high, schools, stays, open, ,, only, grade, schools, close, ,, b, /, c, unvaccinated, parents, ., merge, with, &, amp, ;, yug, #, dems, force, these, gop, ', s, 2hang, themselves, ."
50,"hear, me, ., am, nobody, ,, but, i, just, gave, u, solution, 2the, problem, 2save, yor, rating, ., it, ', s, holiday, season, ,, close, schools, ,, let, churches, stay, open, ,, getting, these, unvaccinated, ppl, hindering, ppl, ., let, ppl, get, new, vaccine, shots, ,, but, save, teachers, ,, pass, rescue, pkg, $, 2, ,, 400, ."
51,"far, ,, far, less, vaccinated, are, taking, up, hospitals, ., it, ’, s, about, 98, %, unvaccinated, ., if, this, wasn, ’, t, politicized, beginning, ,, we, ’, d, never, have, seen, delta, variant, take, hold, like, it, has, ,, alas, that, ship, has, sailed, ."
52,"#, peaceandblessings, #, learning, #, community, #, allindunity, #, senatereform, #, nomatterwhattherdoes, #, votemidterm2022, #, votegeneral2024, #, unvaccinated, #, employees, all, industries, ,, your, employer, has, right, protect, their, business, ., they, get, write, off, their, losses, ., you, don, ’, t, ., folded_handsmedium, -, dark_skin_toneface_with_medical_masksyringe"
53,"they, are, minimizing, left, right, this, cover, up, is, affront, they, right, is, pushing, ,, keeping, people, unvaccinated, ., this, effects, employers, most, because, their, staff, patrons, sri, r, sick"
54,"but, less, likely, be, hospitalized, or, dead, ., but, can, share, with, unvaccinated, idiots, ., or, those, with, compromised, immune, systems, ., so, wear, mask, heathen, ,, while, i, stay, quarantined, ., about, start, my, third, year, i, hate, stupid, most, all, ."
55,"if, you, skip, vaccine, ,, you, should, get, lower, priority, if, caregivers, are, having, ration, care, ,, like, they, are, being, forced, do, alaska, because, unvaccinated, who, are, sick, with, covid"
56,"vaccinated, people, only, spread, virus, break, -, through, cases, ,, which, is, still, much, less, common, than, unvaccinated, person, getting, sick, ."
57,"had, young, non, covid, patient, code, 4times, 2hrs, er, this, evening, ., she, wasn, ’, t, able, get, bed, icu, because, it, ’, s, full, w, /, covid19, patients, ., y, ’, all, unvaccinated, people, don, ’, t, see, how, your, ignorance, is, impacting, hospitals, &, amp, ;, others, ., #, getvaccinated, #, wearamask"
58,"i, didn, ’, t, see, my, grandparents, until, couple, weeks, ago, ,, after, over, year, ., only, because, one, other, side, passed, ., huge, sacrifices, lot, folks, over, that, time, ., which, has, made, me, callous, caring, about, unvaccinated, ., hell, i, just, got, my, third, be, safe, me, &, amp, ;, fam"
59,"unfortunately, unvaccinated, are, ignoring, one, two, greatest, commandments, “, to, love, your, neighbor, as, you, love, yourself, ”."
60,"unvaccinated, like, rolovich, are, saying, “, you, can, ’, t, tell, me, what, do, ”., this, is, age, old, political, ploy, that, dates, back, eventual, rejection, new, deal, ., no, matter, what, excuse, they, give, their, motivation, is, purely, political, ."
61,"hospital, staff, that, are, put, at, risk, when, treating, covid, care, ., people, with, non, -, covid, illnesses, who, can, ’, t, get, icu, bed, because, they, ’, re, full, unvaccinated, patients, care, ., lot, people, care, if, others, are, vaccinated, you, should, too, ."
62,"if, you, ask, me, difference, between, unvaccinated, person, vaccinated, person, ..., i, would, have, say, that, one, shows, his, refusal, help, humanity, other, shows, he, knows, about, science, humanity, ."
63,"i, am, donor, ,, if, anything, ever, happens, me, ,, i, will, here, now, that, my, organs, only, go, unvaccinated, ., i, refuse, giving, parts, myself, enemy, who, wishes, my, death, ."
64,"you, mean, people, who, got, shot, have, better, shot, unvaccinated, have, no, job, whatsoever, ."
65,"same, people, who, think, bakery, has, right, diskriminate, against, lgbtq, people, think, that, private, businesses, should, be, required, serve, unvaccinated, plague, rats, who, spread, disease, other, patrons, ., what, happened, sanctity, business, ownership, that, they, love, thinking_face"
66,"or, put, another, way, -, over, 75, %, those, hospitalized, with, covid, -, 19, iowa, ,, are, unvaccinated, ."
67,"so, vaccinated, need, be, protected, from, …, unvaccinated, that, makes, literally, no, sense, ,, but, continue, ."
68,"some, kids, are, still, out, these, are, all, unvaccinated, kids, ., so, i, do, believe, vaccine, works, does, what, is, should, ., shorten, time, you, are, sick, if, you, get, pathogen, this, is, true, any, vaccine, ., flu, ,, chicken, pox, ,, measles, so, on, ."
69,"pandemic, unvaccinated, emails"
70,"biden, has, information, showing, 60, %, hospitalization, are, fully, vaccinated, as, he, stands, up, saying, its, crisis, unvaccinated, ., he, knows, its, not, ,, its, cms, website, ., i, believe, urgency, pushing, vax, is, bc, truth, is, coming, out, faster, than, they, anticipated, ."
71,"well, ,, already, guaranteed, he, ', ll, stop, texas, rapists, ,, so, he, can, probably, wipe, out, covid, -, 19, among, texas, ', unvaccinated, hoards, too, ."
72,"wow, i, obviously, jumped, into, nest, bat, shit, crazy, good, luck, you, unvaccinated, folks, stay, away, me, please, wear, mask"
73,"vast, majority, recent, cases, those, contracting, covid, are, those, who, are, unvaccinated, -, -, way, over, 90, %., it, ', s, affecting, younger, people, ,, too, ., that, ', s, not, opinion, ,, it, ', s, fact, ."
74,"so, meantime, f, those, unvaccinated, ., let, them, drop, dead, ., granted, most, people, have, very, mild, symptoms, covid, but, those, that, do, suffer, you, ’, re, response, is, let, them, die, ., might, i, add, some, people, can, ’, t, get, vaccine, due, underlying, issues, ., so, let, them, die, too"
75,"nah, ., they, aren, ’, t, allowing, rage, filled, unvaccinated, ., all, vaccinated, event, goers, will, be, happy, ."
76,"lol, that, ’, s, hypocrisy, right, there, ., i, bet, you, were, all, medicare, all, year, ago, but, let, those, unvaccinated, die, or, pay, higher, premiums, ., bet, you, thought, big, pharma, was, devil, too, but, now, we, gotta, get, dosed, with, chemical, that, has, no, long, term, studies, humans, ."
77,"why, are, you, ,, unvaccinated, person, ,, leaving, your, house"
78,"how, about, i, get, 10, unvaccinated, vaxd, …., for, pash, with, hillary, barry, no"
79,"all, my, covid, patients, tonight, are, under, 55, years, old, they, are, all, unvaccinated, ."
80,"unvaccinated, caused, it, flushed_face"
81,"new, osha, regs, don, ', t, actually, exist, yet, abbott, ', s, executive, order, violates, businesses, ', first, amendment, right, freedom, association, though, ., being, unvaccinated, is, not, protected, class"
82,"who, hell, does, joe, biden, think, he, is, no, american, president, history, our, country, has, ever, thought, it, ’, s, ok, people, lose, their, job, because, unvaccinated, as, he, puts, it, are, destroying, our, country, this, asshole, needs, be, impeached, he, has, no, right, being, president"
83,"just, tell, people, it, is, against, my, religion, serve, unvaccinated, people, ."
84,"you, want, medal, ., i, have, also, served, service, lived, through, 9, /, 11, ,”, so, far, ”., i, do, not, follow, any, party, ., but, yes, i, do, think, biden, is, idiot, ., my, opinion, ., what, next, ,, your, unvaccinated"
85,"i, don, ’, t, know, anyone, who, has, tested, positive, after, being, fully, vaccinated, ,, but, i, know, several, unvaccinated, who, have, ., this, is, what, is, known, as, anecdotal, evidence, ., neither, your, claim, nor, mine, have, any, valid, statistical, meaning, when, trying, determine, vaccines, ’, efficacy, ."
86,"i, think, you, misread, that, stat, ,, i, agree, it, ’, s, ambiguous, ,, but, further, reading, :, vaccinated, can, carry, delta, variant, at, greater, levels, than, previous, strains, ,, but, carry, virus, at, same, levels, as, unvaccinated, ., other, studies, suggest, they, carry, it, over, shorter, time"
87,"ofoxanewsnmax, unvaccinated, navy, seals, may, hold, up, trump, gain, function, operation, warp, speed, virus, warfare, frontlines, cuz, natural, immunity, may, end, up, winning, depending, cycle, time, vaccine, boosters, variants, ,, i, guess, ."
88,"i, thought, it, was, due, unvaccinated, teammates, ."
89,"unvaccinated, are, angry, people, ., they, need, chill, ."
90,"take, away, quote, “, the, unvaccinated, are, slowing, down, economy, ”"
91,"every, single, unvaccinated, texan, who, dies, has, their, blood, your, hands, there, ', s, special, place, hell, politicians, like, you, .., right, next, judas, ."
92,"jihad, joe, says, unvaccinated, are, spreading, delta, variant, so, that, means, that, vaccinated, are, who, is, spreading, it, ., verify, this, statement, as, accurate, true, compare, all, other, statements, made, by, him, ."
93,"texas, prospective, governor, candidate, caught, covid, ., he, was, unvaccinated, so, he, got, monoclonal, antibodies, ,, hydroxycloraquin, ivermectin, ., his, wife, was, smarter, than, him, ,, she, got, vaccinated, ., alan, west, is, his, name, ."
94,"hospitals, are, not, clogged, up, ., hospitals, are, designed, work, best, at, near, capacity, or, capacity, ., its, bad, management, ,, as, firing, unvaccinated, hospital, workers, ,, nurses, ,, doctors, ,, technicians, ,, &, amp, ;, twenty, months, into, “, pandemic, ”, &, amp, ;, not, single, new, hospital, bed, with, all, that, money"
95,"unvaccinated, are, hospitalized, dying, ., vaccinated, aren, ', t, as, sick, ."
96,"we, have, lost, at, least, 8, people, we, know, last, 4, weeks, …., 4, were, unvaccinated, ."
97,"unvaccinated, texas, gov, candidate, taking, ivermectin, ,, hydroxochloroquine, covid, -, 19, infection, #, newsbreak"
98,"i, am, so, tired, unvaccinated, at, this, point, ., they, had, get, vaccines, go, school, ., if, they, go, certain, countries, they, have, be, vaccinated, show, it, before, they, can, enter, ., put, your, big, boy, panties, go, get, shot, arm, already, ., stop, whining, ."
99,"it, ’, s, just, this, simple, ., i, will, never, buy, one, ticket, your, airline, until, all, southwest, employees, are, vaccinated, ., you, do, whatever, math, you, think, will, allow, you, keep, your, job, as, unvaccinated, employee, ."
100,"i, wonder, what, actions, are, if, not, vaccinated, hundreds, thousands, us, troops, remain, unvaccinated, via"
101,"my, fully, vaccinated, parents, are, their, 90s, ., their, case, fatality, rate, has, moved, over, 10, %, about, 1, %., i, don, ’, t, want, some, unvaccinated, person, at, their, doctor, ’, s, office, common, place, elderly, or, anyone, else, infecting, them, ., so, fellow, Canadaplease, get, syringesyringe"
102,"i, know, at, least, 25, -, 30, people, personally, who, had, covid, ., 5, died, ., 1, was, 47, years, old, ., 3, before, vaccines, were, available, ,, 1, unvaccinated, by, choice, ,, another, fully, vaccinated, ., frowning_face, ️"
103,"it, ’, s, happening, at, my, daughter, ’, s, hs, ., unvaccinated, classmate, had, hacking, cough, last, week, still, came, school, ., they, are, some, same, classes, ."
104,"i, know, 5, people, who, have, died, ., one, two, weeks, ago, ., 3, who, have, it, currently, i, ’, ve, lost, track, how, many, friends, that, have, had, it, ., my, youngest, who, is, vaccinated, had, get, test, today, because, her, unvaccinated, best, friend, has, it, they, lifted, lunch, restrictions, ., i, ’, m, tired, ."
105,"but, choice, is, choose, wisely, ,, if, you, don, ’, t, wear, mask, everywhere, ,, stay, away, people, ., that, is, true, choice, ,, take, it, or, leave, it, ,, but, don, ’, t, complain, ,, don, ’, t, spread, misinformation, stay, away, people, spread, it, unvaccinated, kids, old, people, ."
