,0
0,"it, centers, medicare, medicaid, services, cos, centers, disease, control, prevention, cac, have, made, updates, their, couid, -, nineteen, guidance, regarding, nursing, home, visitation, ,, definitions, vaccination, status, ,, more, ., read, our, summary, :, down_arrow, i"
1,"we, have, strong, evidence, that, vaccines, work, work, well, ., so, trying, show, that, certain, country, has, lot, deaths, despite, high, vaccination, rate, doesn, ', i, make, sense, ., all, you, are, really, pointing, out, is, that, deaths, would, be, much, worse, if, not, vaccines, ."
2,"i, just, moved, away, oh, -, one, lowest, vaccination, rates, ,, trump, parades, yeah, there, is, lot, structural, racism, ., don, i, i, get, me, started, corrupt, state, house, ., many, wonderful, people, there, i, go, bengalsblue_heart"
3,"gop, couid, denials, misinformation, has, had, predictably, uneven, effects, across, country, ., life, is, very, different, different, states, localities, ., there, are, wildly, different, vaccination, rates, ,, public, health, responses, ,, public, behaviors, ..., and, ,, course, ,, infection, rates, ."
4,"omicron, is, burning, its, way, through, saipan, community, right, now, just, few, months, we, went, having, highest, vaccination, rates, lowest, transmission, ,, third, highest, transmission, usa"
5,"andrea, bordeaux, exits, ', run, world, ', due, vaccination, requirement, filming"
6,"i, still, believe, at, current, vaccination, rates, ,, that, our, exposure, immunity, will, outlast, virus, it, will, lose, its, virility, ., i, also, have, say, that, media, organizations, pushing, vaccine, have, not, done, good, job, making, it, palatable, public, opinion, i"
7,"i, actually, went, see, james, taylor, jackson, brown, november, ., we, had, tickets, long, time, they, checked, vaccination, cards, at, door, ., i, wore, mask, whole, time, was, boosted, by, then, as, well, ., my, husband, who, was, doing, chemo, at, time, did, not, go, ,, daughter, went, ."
8,"just, when, you, thought, neither, airline, could, get, any, worse, ..., announcement, comes, as, major, u, ., i, ., airlines, forecast, profitability, two thousand and twenty-two, ,, benefiting, higher, vaccination, rates, reopening, economies, pandemic, ..."
9,"it, new, fact, sheet, with, suggestions, help, ombudsman, programs, advocate, higher, rates, couid, -, nineteen, vaccination, boosters, ., &, it, i, it, ;, read, fact, sheet, :"
10,"it, was, far, horizons, ,, but, em, its, three, percent, vaccination, rate, ain, i, i, it, either"
11,"gerrard, square, toronto, six hundred and eight, ord, dose, pfizer, or, modern, spots, added, first, available, date, is, two thousand and twenty-two, -, two, -, seven, book, at, see, detailed, availability, #, covid19vaccine, #, con"
12,"gerrard, square, toronto, six hundred and eight, and, dose, pfizer, or, modern, spots, added, first, available, date, is, two thousand and twenty-two, -, two, -, seven, book, at, see, detailed, availability, #, covid19vaccine, #, con"
13,"gerrard, square, toronto, six hundred and eight, est, dose, pfizer, or, modern, spots, added, first, available, date, is, two thousand and twenty-two, -, two, -, seven, book, at, see, detailed, availability, #, covid19vaccine, #, con"
14,"none, other, people, you, mention, broadcast, lies, which, convinced, many, people, forego, vaccination, against, deadly, disease, ., or, pushed, false, cures, their, listeners, when, they, did, get, sick, ., joe, organ, is, responsible, illness, death, ., see, difference"
15,"they, quit, their, jobs, because, they, chose, not, meet, employment, requirement, vaccination, ., every, choice, ,, there, are, consequences, ., plain, simple, ."
16,"new, fact, sheet, with, suggestions, help, ombudsman, programs, advocate, higher, rates, couid, -, nineteen, vaccination, boosters, ., &, it, i, it, ;, read, fact, sheet, :"
17,"oddly, ,, there, are, hundreds, hospital, units, dedicated, treating, couid, patients, ,, but, there, isn, ', i, hospital, north, america, that, has, vaccination, injury, unit, ., why, might, that, be, perhaps, because, your, "", facts, "", are, nonsense"
18,"how, about, requiring, proof, vaccination, vote, person, smirking_face"
