,0
44,"according, my, files, ,, yesterday, i, tweeted, about, beatles, ,, holocaust, ,, sec, football, ,, suicide, ,, jeopardy, covid, booster, shots, ., if, i, was, trying, fool, any, you, into, thinking, i, was, teenager, ,, i, ’, m, not, doing, very, skilled, job, it, ."
45,"got, my, booster, my, flu, shot, ., i, expect, be, able, teleport, about, 2, weeks, ..."
46,"i, now, have, x, ray, vision, go, with, my, steel, body, cape, ., #, boostershot"
47,"only, thing, different, me, with, this, booster, was, my, swollen, lymph, node, my, armpit, ., i, had, slight, chills, ,, low, fever, but, i, had, that, with, second, shot, ."
48,"stopped, my, covid, booster, shot, ., ran, into, all, kinds, temptations, my, way, out, drooling_face"
49,"yes, i, completed, my, covid19, vaccine, know, i, am, fully, vaccined, know, but, was, told, i, did, need, booster, flu, shot, grinning_face_with_sweatthat, i, had, picked, good, vaccine, madorma"
50,"they, didn, ’, t, allow, folks, move, into, dorms, back, 2005, without, up, date, vaccinations, ., i, had, get, hep, b, booster, shot, all, things, ."
51,"i, get, my, booster, shot, today, at, 5Happy_face_smiley0, ., think, good, thoughts, because, needle, phobia, is, coming, hard, today, ."
52,"i, received, my, vaccine, booster, yesterday, woke, up, feeling, awful, ., not, because, shot, ,, because, second, half, that, f, ¥€, king, football, game, ."
53,"time, schedule, these, booster, shots, entire, family, ., we, serve, one, true, living, god, but, we, also, believe, that, he, ordained, scientist, do, their, work, he, put, medical, health, professionals, place, reason, same, reason, he, put, luke, apostle, paul, ', s, life"
54,"also, if, vaccine, works, why, do, you, have, keep, getting, booster, shots, why, is, no, one, diskussing, permanent, side, effects, ., why, did, you, all, jump, off, bridge, out, fear, you, are, ones, that, die, first, horror, movie, because, you, panic, run, upstairs, since, it, ’, s, safe"
55,"what, ', s, with, you, are, you, behind, times, i, already, got, my, booster, shot, ."
56,"booster, shot, update, ., its, been, 16, hours, no, new, powers, or, deadly, side, effects, ., just, boring, sore, shoulder, ., guess, i, ', ll, just, have, settle, with, not, spreading, deadly, virus, my, patients, or, infant, son, ., #, boostershots"
57,"agreed, ., it, ’, s, pretty, pathetic, ., millions, college, students, need, get, booster, shot, this, or, that, every, year, before, heading, campus, you, don, ’, t, see, them, crying, about, it, tiktok, ., what, snowflakes, ."
58,"had, my, booster, shot, yesterday, now, feel, like, i, violently, lost, human, wack, -, a, -, mole, game, ., but, hey, i, ’, m, boosted, face_with_medical_mask"
59,"got, my, covid, booster, shot, friday, ..., and, only, negative, ..., its, been, raining, all, weekend"
60,"that, ’, s, great, ., waiting, our, booster, shot, ."
61,"i, took, booster, shot, my, arm, hurt, so, bad, my, head, hurt, i, was, so, sick, ."
62,"already, got, my, booster, &, amp, ;, flu, shot, @, same, time, diff, arms, ., i, work, health, care, ., so, thankful, vaccine, ., #, vaxupwa"
63,"i, got, booster, flu, shot, wednesday, night, hoo, boy, they, packed, punch, collisionboxing_glove, 3, days, later, now, i, ’, m, finally, feeling, better"
64,"i, already, had, my, booster, shot, ,, thank, you, ."
65,"save, us, lord, men, women, are, not, being, honest, with, american, people, ., we, do, not, need, get, booster, shot, ., we, already, have, had, vaccines, ."
66,"my, late, husband, worked, new, york, state, he, had, have, certain, vaccines, be, able, work, ., my, job, requires, me, have, tdap, ,, flu, now, covid, ., i, had, measles, booster, ., i, got, shot, arm, at, school, late, 60, ’, s, with, vaccine, ., we, ’, ve, been, mandated, have, vaccines, before"
67,"i, was, glad, get, my, booster, ., no, need, video, experience, ., just, damn, shot, ., hell, ,, i, was, #, poliovaccine, trial, ., i, had, 7, #, salk, shots, with, much, thicker, needle, when, i, was, 7, ., had, another, shot, #, osteoporosis, today, ., bfd"
68,"vax, shot, ., but, it, only, lasted, 24, hours, ., i, can, ', t, imagine, feeling, that, bad, actually, worse, with, unvaxd, case, covid, ., teachers, if, you, get, booster, just, plan, calling, out, next, day, ., it, ', s, doozy, ."
69,"covid, booster, flu, shot, same, day, ;, my, immune, system, is, …"
70,"that, booster, shot, straight, up, destroyed, me"
71,"i, got, my, booster, flu, shot, same, day, one, each, arm, ., no, reaction, either"
72,"version, now, takes, two, shots, ,, with, 2nd, about, 3, -, 6, months, after, first, ., was, told, it, ’, s, abt, 95, %, effective, can, provide, lifetime, protection, ., maybe, i, need, more, info, ,, misheard, ,, or, older, versions, needed, booster"
73,"sorry, hear, pal, .., shout, out, if, you, need, anything, ., i, ’, ve, been, double, jabbed, got, booster, flu, shot, yesterday, .., i, ’, ll, pass, chapel, splash, myself, with, holy, water, as, extra, insurance"
74,"is, it, okay, get, flu, shot, booster, covid, shot, at, same, time, or, should, they, be, spaced, out"
75,"these, people, couldn, ’, t, get, booster, shots, before, …"
76,"booster, shot, syringethumbs_uplight_skin_tone"
77,"if, you, want, booster, ,, get, one, ., just, like, before, ,, it, is, paid, by, your, insurance, ., if, you, don, ', t, have, insurance, ,, just, like, before, ,, federal, government, reimburses, company, that, gave, you, shot, ."
78,"40, covid, tests, since, july, 2020, ., all, negative, ., fully, vaccinated, ., including, booster, shot, ., please, #, wearamask, ., it, saves, lives, ., including, yours, ."
79,"just, got, my, covid, booster, flu, shot, ., not, saying, i, ', m, better, than, everyone, who, hasn, ', t, gotten, theirs, yet, ., but, i, ', m, sure, better, than, everyone, who, hasn, ', t, gotten, their, first, one, ."
80,"help, only, if, you, ’, re, double, vaccinated, have, registered, your, next4, booster, shots"
81,"had, little, no, tired, feeling, ., had, flu, shot, at, same, time, as, booster, shot, ."
82,"i, also, received, my, booster, shot"
83,"booster, makes, 6, shots, this, year, ..., #, grateful, #, wearadamnmask, #, beatcovid, @, ronald, reagan, ucla, medical, center"
84,"omg, that, booster, shot, is, ducking, me, up, today, ….., how, tf, did, i, hang, out, yesterday"
85,"two, days, after, booster, ,, 3rd, shot, my, close, relative, fell, ill, with, vid, -, co, ,, bed, over, two, weeks, ,, end, august, into, sept, ., four, day, er, /, hospital, stay, &, amp, ;, now, nursing, home, rehab, facility, due, complications, severe, fatigue, syndrome, ., my, personal, thanks, #, theclub"
86,"my, cousin, who, is, teacher, upstate, ny, just, got, covid, ., unsurprisingly, ,, schools, are, ground, zero, community, spread, ., will, be, scheduling, my, booster, shot, very, shortly, ."
87,"when, you, get, your, covid, booster, your, flu, shot, same, day, while, you, ’, re, also, recovering, sinus, infection, because, mama, didn, ’, t, raise, no, bitch, ."
88,"booster, shot, my, body, rn"
89,"big, morning, today, got, my, covid, vaccine, booster, ,, flu, shot, ,, saw, my, first, real, -, life, angry, guy, muttering, about, “, socialist, virus, ”, farting, up, waiting, area"
90,"time, is, up, i, ’, m, moving, with, my, day, ., before, i, left, i, saw, pharmacist, who, administered, booster, shot, ., i, thanked, him, one, last, time, ., he, was, very, tall, compared, me, indian, gentleman, ,, he, reciprocated, my, thanks, with, his, hand, over, heart, bowed, toward, me, ."
91,"im, not, eligible, booster, til, dec, ., its, certain, amount, months, 2nd, shot, ,, i, think, ., i, hope, #, modernabooster, booster, is, available, by, then, ."
92,"this, booster, shot, hurts, lol"
93,"that, never, had, covid, but, had, antibodies, before, shot, ., was, 1st, shot, my, "", booster, """
94,"i, scored, vaccination, triple, play, /, hat, trick, /, trifecta, today, ., covid, -, 19, booster, ,, flu, shot, ,, pneumonia, vaccine, ."
95,"time, get, some, more, super, powers, #, covidvaccine, #, boostershot"
