,0
0,"i, ’, m, not, saying, it, doesn, ’, t, have, value, weak, ,, elderly, infirm, ., but, vaccine, is, not, as, effective, as, once, goes, ."
1,"it, ', s, not, against, yt, tos, tell, people, ivermectin, is, as, effective, as, vaccine, it, ', s, not, ., but, it, is, against, their, tos, run, those, same, videos, talk, about, them, critical, way, ., they, ', re, saying, exactly, that, right, here, ."
2,"what, exactly, does, it, mean, when, they, say, covid, vaccine, is, 95, %, effective, i, originally, assumed, it, meant, 95, %, chance, they, recipient, won, ’, t, get, it, again, ., what, does, it, mean, today, 95, %, of, time, symptoms, won, ’, t, be, as, severe, 95, %, time, it, wont, kill, you"
3,"it, was, not, proven, any, studies, be, effective, ., that, was, my, point, ., your, one, story, is, not, study, ., someone, india, dire, situation, threw, it, at, patient, had, some, effect, ., vaccine, is, more, effective, proven, ."
4,"vaccine, is, not, even, 100, %, effective, face_with_tears_of_joy"
5,"it, is, safe, ., it, is, effective, ., so, are, all, other, vaccines, you, you, pets, have, take, ., i, ', m, sorry, that, people, lied, you, ., sad, ., be, safe, ."
6,"you, ’, re, right, ., people, aren, ’, t, looking, their, pastors, information, if, vaccine, is, safe, or, effective, ., they, are, looking, moral, permission, or, prohibition, ., either, way, though, i, think, it, ’, s, problematic, dynamic, ."
7,"yes, treatments, are, being, researched, developed, vaccine, is, most, effective, ., when, virus, mutates, it, affects, all, treatments, ., so, lets, experiment, with, different, drugs, see, if, it, works, use, less, testing, than, what, was, required, vaccine, ."
8,"except, people, that, aren, ’, t, vaccinated, aren, ’, t, killing, anyone, ,, you, can, still, get, covid, with, vaccine, ,, natural, immunity, has, proven, be, just, as, effective, ., only, person, someone, who, isn, ’, t, vaccinated, it, hurting, is, themselves, so, let, them, make, that, decision"
9,"hmm, strange, ., seems, like, they, ’, ve, been, doing, it, while, ., wish, vaccine, was, effective, enough, protect, those, elderly, immune, compromised, ."
10,"this, just, four, out, every, five, dentist, say, vaccine, is, safe, effective"
11,"Should, increase, the, capacity, of, the, hospital, with, booster, dose, with, effective, vaccine, ,, there, are, only, two, solutions, close, country, open, country, Unlikely, and, as, effective, as, both, of, these, restrictions, on, social, activity, ."
12,"you, don, ’, t, know, that, ., they, refused, use, ivermectin, ,, as, it, ’, s, not, authorized, as, treatment, covid19, ., it, does, not, work, ., there, is, vaccine, that, is, effective, if, taken, before, virus, is, contracted, ,, but, is, not, administered, after, fact, ., murder, no, suicide, by, stupidity, smh"
13,"“, vilifying, ”, call, it, what, you, will, ., nearly, 100, ,, 000, americans, have, died, covid, since, june, ., over, 97, %, them, were, unvaccinated, ., we, ’, ve, had, safe, ,, effective, &, amp, ;, free, vaccine, since, early, spring, ., most, those, hospitalized, &, amp, ;, dying, now, are, ignorant, &, amp, ;, immune, facts, ., i, ’, m, done, with, them"
14,"who, ’, s, afraid, you, live, terror, living, our, planet, which, is, crawling, with, germs, viruses, that, can, do, kill, people, ,, always, have, always, will, must, be, terrifying, know, that, vaccines, are, not, as, effective, as, you, were, promised, it, would, be, ., my, life, is, unchanged, ."
15,"not, saying, ivermectin, is, answer, by, any, means, but, it, ’, s, lot, more, effective, at, killing, viruses, than, you, think, ., people, are, taking, “, horse, medication, ”, bc, ivermectin, doesn, ’, t, come, human, dose, ., i, ’, m, believer, vaccines, too, but, ivermectin, is, more, than, just, horse, dewormer, ."
16,"australia, has, shown, delta, is, so, contagious, that, it, can, take, just, seconds, walking, by, someone, mall, get, infected, &, amp, ;, cdc, director, admitted, vaccines, are, no, longer, effective, at, stopping, transmission, so, yes, ,, going, shopping, can, be, dangerous, but, not, those, with, proper, masks, ."
17,"just, like, vaccines, were, proven, effective, vitro, lol, ."
18,"dang, almost, like, vaccines, aren, ', t, 100, %, effective"
19,"dunking, gupta, this, is, pathetic, ,, dude, never, made, statements, himself, ., rogans, right, ,, ppl, cnn, misrepresented, ,, however, he, ', s, still, wrong, thinking, ivermectin, is, more, effective, than, vaccines, ."
20,"it, ’, s, kind, dangerous, moment, as, we, need, very, high, uptake, most, vaccines, mute, transmission, setting, rhetorical, standard, that, vaccines, are, personal, choice, only, good, if, 100, %, effective, undermines, basically, our, entire, vaccination, system, all, diseases"
21,"it, ’, s, also, argument, predicated, assumption, that, vaccine, either, provides, sterilizing, immunity, or, is, sufficiently, effective, that, risk, community, spread, is, essentially, zero, ., that, assumption, does, not, hold, this, case, ."
