,0
39,"question, that, we, should, be, asking, ourselves, ,, kuthu, why, vaccinated, are, still, alive, even, today, without, any, problems, ,, why, we, don, ', i, hear, sounds, ambulances, day, night, collecting, them, ,, why, people, are, vaccinated"
40,"they, ', re, not, ,, that, got, flipped, after, five, days, several, liters, liberal, city, council, tears, tantrums, ., ops, sent, their, vaccinated, home, unpaid, leave, after, january, just, van, deadline, ."
41,"go, tell, that, vaccinated, kyrie"
42,"do, ., bonnie, henry, comparing, impacts, couid, vaccinated, vaccinated, ., "", it, is, like, saying, both, christine, sinclair, i, play, soccer, i"
43,"pronouns, weirdo, are, you, referring, systemic, discrimination, against, vaccinated"
44,"sorry, but, this, is, fake, news, ., vaccinated, people, spread, disease, much, more, because, they, ', re, generating, more, it, their, body, ., so, first, point, you, ', re, absolutely, totally, wrong, ., vaccinated, people, spread, virus, much, more, effectively, ."
45,"you, guys, will, not, win, ring, as, long, as, kyrie, is, team, vaccinated"
46,"newsflash, ,, vaccinated, spread, ,, contract, carry, same, as, vaccinated, ."
47,"but, they, i, re, ones, that, encouraged, vulnerable, population, treat, being, vaccinated, as, having, cultural, ,, political, ,, religious, significance, ., they, encouraged, these, people, bet, their, lives, ., there, i, i, going, be, judgment, that, ., three, /"
48,"i, i, ., e, ., if, everyone, is, vaccinated, ,, then, one hundred, %, deaths, will, be, vaccinated, people, ,, even, though, rate, deaths, may, be, 1000x, lower, than, vaccinated, population"
49,"isn, i, i, ben, also, vaccinated, doesn, i, i, that, mean, he, can, i, i, play, be, either"
50,"that, would, still, be, zero, ., every, vaccinated, worker, because, stupidity, is, different, story, ."
51,"that, ', i, definitely, mouth, breather, issue, ., i, can, tell, by, camouflaged, print, ., smirking_face"
52,"it, was, just, reported, that, ben, simmons, was, vaccinated, until, like, week, or, two, ago, too, ., i, wonder, if, that, held, up, brooklyn, making, deal, sooner"
53,"wasn, i, i, this, gonna, be, long, winter, death, vaccinated, now, we, don, i, i, have, wear, mask, lao"
54,"i, cac, said, estimated, cost, couid, hospitalizations, among, vaccinated, adults, u, ., i, ., cost, $, thirteen, billion, june, through, november, i"
55,"okay, ill, just, support, surrounding, communities, when, i, take, my, family, out, dinner, move, if, they, insist, telling, everyone, be, afraid, vaccinated, ., it, should, be, other, way, around, makes, no, sense, ., #, makeitmakesense, #, destroyingsmallbusiness"
56,"quarter, illinois, prison, guards, vaccinated, despite, mandate, |, #, superspreaders"
