,0
0,"lol, which, did, you, get, ,, moderna, or, pfizer"
1,"got, first, dose, pfizer, five, hours, ago, ., arm, soreness, started, kick, after, about, 90, minutes, ., as, now, ,, arm, soreness, side, injection, general, fatigue, are, main, side, effects, ., very, normal, so, far, ."
2,"got, my, first, dose, pfizer, vaccine, at, risk, sounding, flippant, it, feels, pretty, ,, pretty, ,, pretty, good, ."
3,"that, is, positive, news, but, compare, other, country, is, disappointment, ., eu, receives, additional, 75m, just, only, pfizer, vaccine, by, end, june, ., you, do, math, ."
4,"i, just, realized, i, didn, ’, t, tweet, my, “, fauci, ouchie, ”, pic, dose, #, 1, pfizer, wednesday, ,, thank, you, #, covidvaccine, #, getvaccinated"
5,"oh, israel, has, been, proving, that, pfizer, ’, s, vaccine, is, reducing, /, stopping, transmission, ., woman_dancingmedium, -, light_skin_tone"
6,"1st, covid, vaccine, done, woot, #, pfizer, @, iehp"
7,"mario, ,, one, mount, rainier, veterans, &, amp, ;, frontline, volunteer, who, has, helped, distributed, thousands, foodboxes, community, receiving, first, dose, covid19, pfizer, vaccine, today, ., thank, you, donation, facemask, our, frontline, team"
8,"got, my, first, dose, pfizer, vaccine, today, ., syringe, today, i, received, my, first, dose, of, the, pfizer, vaccine, ., syringe"
9,"i, had, pfizer, ind, was, ill, three, days, ., different, people, have, different, reactions, ., reaction, is, good"
10,"i, ', m, in, ...., except, i, had, pfizer"
11,"canada, still, will, be, behind, vaccination, process, compare, eu, ., the, eu, will, receive, additional, 75m, doses, pfizer, vaccine, by, end, june, ., so, canada, ’, s, additional, pfizer, doses, is, almost, nothing, compare, #, extra, doses, delivered, eu, #, cdnpoli, ."
12,"taught, my, back, back, psychology, classes, at, central, texas, college, drove, temple, take, my, covid, vaccine, :, pfizer, 1st, dose, praise, god, ,, i, ’, m, feeling, finefolded_handsmedium_skin_tone, ., lord, ’, s, will, i, will, take, my, second, dose, covid, vaccine, after, spring, break, very, well, organized, here, raising_handsmedium_skin_tone"
13,"pfizer, ...., 2nd, shot, is, 3, weeks, ."
14,"one, down, one, go, ,, another, town, one, more, show, ...., pfizer"
15,"i, just, saw, something, that, said, “, have, faith, pfizer, vaccine, ., don, ’, t, forget, they, make, viagra, ., if, they, can, raise, dead, ,, they, can, save, living, ”, i, cannot, stop, laughing"
16,"did, you, get, choose, j, &, amp, ;, j, vaccine, over, pfizer, one, ,, or, was, that, decided, by, fema, site"
17,"thank, you, everyone, that, made, today, possible, ., #, science, #, moderna, #, johnsonandjohnson, #, pfizer, #, vaccinatebps, #, sciencewillwin"
18,"got, shot, yesterday, ., beer, &, amp, ;, pizza, tonight, ., beer, &, amp, ;, pizza, last, night, ., #, shotcelebration"
19,"i, didn, ’, t, have, any, reaction, either, after, first, one, except, little, bit, sore, arm, next, day, ., but, they, say, second, one, is, little, more, intense, ., i, ’, ll, be, getting, that, monday, ..., we, ’, ll, see, did, you, get, pfizer, or, moderna"
20,"i, ', m, so, happy, your, mom, she, ', ll, also, be, protected, most, recent, variants, virus, just, got, two, pfizer, appointments, confirmed, my, mom, this, morning, ., can, ', t, hardly, wait, it, be, done, arizona, is, now, also, slowly, moving, toward, my, age, group, ., so, far, ,, so, good, grinning_face_with_big_eyes"
21,"i, get, pfizer, shot, this, wednesday, i, ', m, so, happy, beaming_face_with_smiling_eyes"
22,"yesterday, i, had, my, first, shot, ., pfizer, ., i, ', ve, never, even, had, flu, shot, but, this, is, absolutely, imperative, ."
23,"how, i, waited, for, this, day, and, i, want, to, share, it, with, you, :, my, mom, just, got, her, first, dose, of, pfizer, vaccine, here, in, san, francisco, ., detail, :, she, is, 55, years, old, ,, she, is, not, in, the, risk, group, ., too, happy"
24,"1st, shot, ,, pfizer"
