,0
41,"trump, is, angry, because, pfizer, didn, ', t, take, federal, money, &, amp, ;, he, can, ', t, take, credit, its, successful, roll, out, ., who, really, gets, punished, we, people, ."
42,"why, can, ’, t, you, call, pfizer, give, them, them, addresses, where, send, vaccine, michigan, if, trump, won, ’, t, do, it, ,, do, you, know, where, they, were, scheduled, go"
43,"it, ’, s, unacceptable, that, there, are, still, thousands, pfizer, vaccine, doses, sitting, without, destination, ,, but, i, ’, ve, been, told, top, men, are, investigating, ., top, men"
44,"i, find, it, interesting, that, trump, owns, stock, moderna, but, not, pfizer, ."
45,"im, scared, anything, this, fucked, up, government, run, by, bunch, injecting, bleach, idiots, touched, i, think, i, will, only, take, pfizer, ', s, or, triple, mask, through, this, shit, hell, i, think, pfizer, should, offer, us, independent, people, injectable, pin, do, our, own, shots, its, only, em"
46,"fact, that, you, can, ’, t, sue, pfizer, moderna, if, something, goes, wrong, is, causing, lot, doctors, nurses, not, wanting, take, vaccine, ., prep, act, gave, them, immunity, liability, woozy_face"
47,"i, like, pfizer, better"
48,"trump, his, cronies, have, not, invested, pfizer, ., was, not, part, warp, speed"
49,"what, happened, all, pfizer, vaccines"
50,"fda, issued, emergency, use, authorization, -, lies, all, faulse, ., pfizer, --&, gt, ;, didn, ', t, approve, it, at, all, ., you, ', re, saying, same, thing, do, not, trust, ,, vaccine, that, ', s, not, tested, properly, if, you, do, its, you, not, them, ., biden, ,, harris, ,, gatesgang, ,, obamagang, ,, clintons, ,, demoncrapps, --&, gt, ;, not, getting, it"
51,"hubby, 13, hours, after, 1st, covid19, pfizer, vaccine, ., feeling, good, ., #, covid19, #, essentialworkers, #, vaccine"
52,"if, you, ', re, surprised, they, arent, distributing, pfizer, vaccine, wait, moderna, vaccine, they, can, profit, off, of, ,, just, go, back, sleep"
53,"let, me, get, this, straight, ,, ron, johnson, gave, speech, today, about, how, we, are, putting, our, children, debt, by, trying, give, people, money, that, are, need, pandemic, ., we, didn, ', t, preorder, more, pfizer, vaccine, but, we, have, money, space, force, ,, oh, sorry, guardians, ., wow, ."
54,"you, ’, re, slow, walking, process, dosages, are, sitting, at, pfizer"
55,"just, don, ', t, get, hit, by, lightninghigh_voltagehigh_voltagehigh_voltage"
56,"why, aren, ’, t, you, shipping, pfizer, vaccine, incompetent, mess"
57,"bold, you, tweet, this, when, pfizer, has, literally, come, out, said, they, have, millions, vaccines, ready, go, but, they, ', re, sitting, warehouse, because, they, haven, ', t, received, instructions, ., you, ', re, pathetic, useless, ."
58,"yesterday, ,, privileged, receive, #, covidvaccine, feeling, great, today, ., #, notthrowingawaymyshot, #, covid_19"
59,"To, date, ,, the, only, vaccine, for, sale, is, that, of, Pfizer, and, it, has, already, committed, all, of, its, production, for, 2021, ., Astra, /, Zeneca, is, still, in, phase, 3, ., It, is, very, difficult, for, governments, or, for, individuals, to, obtain, vaccines, for, 2021, ., Perhaps, after, June, and, that, is, if, there, is, luck, and, the, process, is, accelerated, ."
60,"#, netde, #, getvaccinated, #, pfizer, #, moderna, #, astrazeneca"
61,"incorrect, ., /, vaccine, requires, -, 70, °, c, ., refrigeration, storage, ,, that, requires, expensive, refrigeration, equipment, and, /, or, use, dry, ice, with, special, storage, equipment, truly, massive, scale, ."
62,"feeling, privileged, be, one, first, receive, #, covid19, vaccine, ., thank, you, vaccine, thank, you, providing, it, ., i, hope, everyone, can, have, access, it, soon, i, hope, this, is, beginning, end, pandemic, syringe"
63,"pfizer, is, pc, moderna, is, mac, i, can, ', t, explain, why"
64,"america, are, we, winning, yet, millions, doses, vaccines, sitting, at, pfizer, ’, s, warehouse, awaiting, shipping, instructions, ., meanwhile, our, elected, officials, are, receiving, vaccines, ,, but, our, front, line, workers, still, haven, ’, t, received, their, doses, ., United_States, #, covid19"
65,"supposedly, yes, with, moderna, vaccine, as, it, blocks, ability, transmit, virus, as, well, ., but, not, with, pfizer, ."
66,"A, Tennessee, nurse, who, fainted, while, receiving, the, Pfizer, vaccine, clarified, it, was, due, to, a, predisposition, to, fainting, ,, not, the, injection, ., ahhhclapping_handsgrinning_face_with_sweat"
67,"kinda, hard, put, dent, when, there, is, some, scam, happening, with, doses, sitting, warehouse, vaccine, ., #, vaccinescam"
68,"where, f, *, ck, is, #, trump, 5, days, #, mia, while, #, americans, die, by, thousands, #, covid, that, he, could, have, stopped, january, #, vaccinesforall, as, now, many, doses, are, missing, or, sitting, #, pfizer, ., #, russianhack, ., #, cyberattacks, ., no, #, stimulus, ., #, trumps, can, gtfo, now"
69,"i, would, like, introduce, my, new, show, ,, vaxlor, ,, where, pfizer, moderna, compete, see, who, can, give, me, vaccine, sooner"
70,"jim, comes, ,, md, ,, chief, getting, covid, -, 19, vaccine, today, at, ., “, i, trust, science, i, believe, that, this, vaccine, will, make, difference, getting, our, society, -, nationally, locally, -, back, order, ."
71,"pfizer, is, ny, ., they, are, partnering, with, biontech, ,, german, company, produce, vaccine, ., they, took, warp, speed, money, doses, vaccine, ,, but, not, research, development, ."
72,"#, international, the, eu, food, and, drug, administration, #, fda, authorized, the, emergency, use, of, the, vaccine, against, #, covid19, ,, made, by, the, #, modern, pharmaceutical, company, ., the, drug, ,, second, approved, in, the, country, after, #, pfizer, ,, can, be, administered, over, 18, years, ."
73,"former, gov, robert, bentley, receives, pfizer, vaccine, ., bentley, has, dermatology, practice, tuscaloosa, ."
74,"whats, being, reported, it, ', s, not, millions, yet, ., fact, pfizer, is, waiting, instructions, where, send, millions, doses, they, have, waiting, be, shipped, out, get, off, your, fat, ass, &, amp, ;, do, your, job, &, amp, ;, get, vaccines, distributed"
75,"wednesday, received, vaccine"
76,"fuck, ps5, vs, xbox, ,, we, doin, moderna, vs, pfizer"
77,"that, light, at, end, tunnel, is, getting, brighter, #, covidvaccine"
78,"he, ', s, congratulating, himself, he, owns, stock, moderna, he, ', s, been, holding, out, getting, more, pfizer, vaccines, that, have, been, just, sitting, warehouse, because, those, weren, ', t, going, put, money, his, pocket, plain, simple"
79,"i, ’, m, 29th, raising_handsmedium_skin_tone"
80,"pharmacy, /, doctor, twit, what, ’, s, difference, between, pfizer, biontechs, vaccine, modernas, vaccine"
81,"depends, ., are, they, both, trumps, shit, list, or, just, pfizer"
82,"pfizer, ,, moderna, ,, catalent, ,, we, thank, you, ,, your, scientists, so, many, ,, many, others, all, you, did, you, are, saving, americas, ,, science, is, saving, our, world, ., it, is, highly, regretful, that, our, government, did, not, listen, our, highly, qualified, scientists, numbers, speak, themselves"
83,"they, don, ', t, want, distribute, pfizer, now, ., they, are, waiting, higher, bidder, since, it, ', s, working, or, many, gop, financed, moderna, so, they, want, moderna, go, first, ., everything, is, possible"
84,"so, where, ’, s, rest, it, why, are, governors, all, coming, up, short, while, pfizer, had, millions, doses, just, sitting, warehouse, waiting, delivery, orders"
85,"i, found, temperature, storage, especially, important, tennessee, because, moderna, vaccine, does, not, require, same, ultra, -, cold, storage, as, pfizer, ,, which, makes, it, more, user, -, friendly, ,, particularly, rural, areas, that, might, be, less, equipped, ."
86,"does, trump, administration, have, shares, moderna, ..., million, doses, pfizer, vaccine, sitting, warehouse, ,, going, nowhere, ., deserves, investigation, ..."
